Country	Birthsattended	ID	id_row
Afghanistan	51.0	Q889	0
Albania	100.0	Q222	1
Algeria	97.0	Q262	2
Angola	50.0	Q916	3
Antigua and Barbuda	100.0	Q781	4
Argentina	100.0	Q414	5
Armenia	100.0	Q399	6
Australia	100.0	Q408	7
Austria	98.0	Q40	8
Azerbaijan	100.0	Q227	9
Bahamas, The	100.0	Q778	10
Bahrain	100.0	Q398	11
Bangladesh	50.0	Q902	12
Barbados	99.0	Q244	13
Belarus	100.0	Q184	14
Belize	97.0	Q242	15
Benin	78.0	Q962	16
Bhutan	89.0	Q917	17
Bolivia	90.0	Q750	18
Bosnia and Herzegovina	100.0	Q225	19
Botswana	100.0	Q963	20
Brazil	99.0	Q155	21
Brunei Darussalam	100.0	Q921	22
Bulgaria	100.0	Q219	23
Burkina Faso	80.0	Q965	24
Burundi	85.0	Q967	25
Cabo Verde	91.0	Q1011	26
Cambodia	89.0	Q424	27
Cameroon	65.0	Q1009	28
Canada	98.0	Q16	29
Chad	20.0	Q657	30
Chile	100.0	Q298	31
China	100.0	Q148	32
Colombia	96.0	Q739	33
Congo, Dem. Rep.	80.0	Q974	34
Congo, Rep.	94.0	Q971	35
Costa Rica	90.0	Q800	36
Cote d'Ivoire	74.0	Q1008	37
Croatia	100.0	Q224	38
Cuba	100.0	Q241	39
Cyprus	97.0	Q229	40
Czech Republic	100.0	Q213	41
Denmark	94.0	Q35	42
Dominica	96.0	Q784	43
Dominican Republic	100.0	Q786	44
Ecuador	97.0	Q736	45
Egypt, Arab Rep.	92.0	Q79	46
El Salvador	100.0	Q792	47
Estonia	99.0	Q191	48
Eswatini	88.0	Q1050	49
Ethiopia	28.0	Q115	50
Fiji	100.0	Q712	51
Finland	100.0	Q33	52
France	97.0	Q142	53
Gambia, The	57.0	Q1005	54
Georgia	100.0	Q230	55
Germany	99.0	Q183	56
Ghana	71.0	Q117	57
Grenada	99.0	Q769	58
Guatemala	66.0	Q774	59
Guinea	55.0	Q1006	60
Guinea-Bissau	45.0	Q1007	61
Guyana	86.0	Q734	62
Haiti	42.0	Q790	63
Hungary	99.0	Q28	64
Iceland	98.0	Q189	65
India	81.0	Q668	66
Indonesia	91.0	Q252	67
Iran, Islamic Rep.	99.0	Q794	68
Iraq	96.0	Q796	69
Ireland	100.0	Q27	70
Italy	100.0	Q38	71
Japan	100.0	Q17	72
Jordan	100.0	Q810	73
Kazakhstan	99.0	Q232	74
Kenya	62.0	Q114	75
Korea, Dem. Peopleâ€™s Rep.	100.0	Q423	76
Korea, Rep.	100.0	Q884	77
Kosovo	99.0	Q1246	78
Kuwait	100.0	Q817	79
Kyrgyz Republic	98.0	Q813	80
Lao PDR	64.0	Q819	81
Latvia	100.0	Q211	82
Lesotho	78.0	Q1013	83
Liberia	61.0	Q1014	84
Libya	100.0	Q1016	85
Lithuania	100.0	Q37	86
Madagascar	44.0	Q1019	87
Malawi	90.0	Q1020	88
Malaysia	99.0	Q833	89
Maldives	100.0	Q826	90
Mali	67.0	Q912	91
Malta	100.0	Q233	92
Mauritania	69.0	Q1025	93
Mauritius	100.0	Q1027	94
Mexico	98.0	Q96	95
Moldova	100.0	Q217	96
Mongolia	99.0	Q711	97
Montenegro	99.0	Q236	98
Myanmar	60.0	Q836	99
Namibia	88.0	Q1030	100
Nepal	58.0	Q837	101
New Zealand	96.0	Q664	102
Niger	40.0	Q1032	103
Nigeria	43.0	Q1033	104
North Macedonia	100.0	Q221	105
Norway	99.0	Q20	106
Oman	99.0	Q842	107
Pakistan	69.0	Q843	108
Palau	100.0	Q695	109
Panama	95.0	Q804	110
Papua New Guinea	56.0	Q691	111
Paraguay	96.0	Q733	112
Peru	92.0	Q419	113
Philippines	84.0	Q928	114
Poland	100.0	Q36	115
Portugal	99.0	Q45	116
Qatar	100.0	Q846	117
Romania	95.0	Q218	118
Russian Federation	100.0	Q159	119
Rwanda	91.0	Q1037	120
Samoa	83.0	Q683	121
Sao Tome and Principe	93.0	Q1039	122
Saudi Arabia	98.0	Q851	123
Senegal	68.0	Q1041	124
Serbia	98.0	Q403	125
Sierra Leone	82.0	Q1044	126
Singapore	100.0	Q334	127
Slovak Republic	99.0	Q214	128
Solomon Islands	86.0	Q685	129
South Africa	97.0	Q258	130
Sri Lanka	100.0	Q854	131
St. Kitts and Nevis	100.0	Q763	132
St. Vincent and the Grenadines	99.0	Q757	133
Sudan	78.0	Q1049	134
Suriname	80.0	Q730	135
Tajikistan	95.0	Q863	136
Tanzania	64.0	Q924	137
Thailand	99.0	Q869	138
Timor-Leste	57.0	Q574	139
Togo	45.0	Q945	140
Trinidad and Tobago	100.0	Q754	141
Turkey	97.0	Q43	142
Turkmenistan	100.0	Q874	143
Uganda	74.0	Q1036	144
Ukraine	100.0	Q212	145
United Arab Emirates	100.0	Q878	146
United States	99.0	Q30	147
Uruguay	100.0	Q77	148
Uzbekistan	100.0	Q265	149
Vanuatu	89.0	Q686	150
Venezuela, RB	96.0	Q717	151
Vietnam	94.0	Q881	152
West Bank and Gaza	100.0	Q407199	153
Yemen, Rep.	45.0	Q805	154
Zambia	80.0	Q953	155
Zimbabwe	78.0	Q954	156
