Country	Production %	Kg/HA
Afghanistan	2238	2793.1
Albania	157.6	148.1
Algeria	1845.2	3376.3
American Samoa	..	..
Andorra	..	..
Angola	1170	2595.4
Antigua and Barbuda	0	0
Argentina	10624.3	11751.2
Armenia	184.9	194.7
Aruba	..	..
Australia	17561.1	16976
Austria	816.8	787
Azerbaijan	813.2	986.9
Bahamas, The	0.1	0.1
Bahrain	..	..
Bangladesh	11588.1	11793.6
Barbados	0.1	0
Belarus	2310	2206.1
Belgium	310.5	327.5
Belize	23	28.9
Benin	960.1	1246.2
Bermuda	..	..
Bhutan	59	52.1
Bolivia	768.3	1260.3
Bosnia and Herzegovina	341.6	319.3
Botswana	96.5	100.3
Brazil	17883.4	20122.7
Brunei Darussalam	0.5	1
Bulgaria	2145.1	1816.6
Burkina Faso	3308.7	4017.6
Burundi	223.4	289.2
Cabo Verde	34.1	31.7
Cambodia	2066.2	3052.4
Cameroon	890.8	2403.7
Canada	15174.8	14135.2
Cayman Islands	..	..
Central African Republic	184.4	162.8
Chad	1807.1	3402
Channel Islands	..	..
Chile	652.1	564.6
China	81469.3	103036.2
Hong Kong SAR, China	0	0
Macao SAR, China	..	..
Colombia	1087.1	1013.7
Comoros	16.1	28.7
Congo, Dem. Rep.	1969.6	3979.6
Congo, Rep.	24.9	36.3
Costa Rica	54.7	53.1
Cote d'Ivoire	759.7	1479.9
Croatia	578.9	532.8
Cuba	320.6	316.7
Curacao	..	..
Cyprus	59.2	23.3
Czech Republic	1569.1	1361.4
Denmark	1527.9	1471.3
Djibouti	0	0
Dominica	0.1	0.1
Dominican Republic	176.4	190.3
Ecuador	845	706.1
Egypt, Arab Rep.	2712.2	3226.3
El Salvador	328.7	390.8
Equatorial Guinea	..	..
Eritrea	344.6	470.7
Estonia	259.2	351.4
Eswatini	69	78.1
Ethiopia	6648.8	10219.4
Faroe Islands	..	..
Fiji	5.7	2.3
Finland	1195.1	998
France	9352	9610.7
French Polynesia	..	..
Gabon	17.3	28.8
Gambia, The	145	260.8
Georgia	355.7	171.5
Germany	6941	6316.3
Ghana	1597.6	1518.8
Greece	1287.7	979.1
Greenland	..	..
Grenada	0.3	0.3
Guam	0	0
Guatemala	644.5	923
Guinea	1241.1	3172.5
Guinea-Bissau	141.9	146.3
Guyana	109.1	153.2
Haiti	408.5	514.3
Honduras	431.6	423.2
Hungary	2953	2565.9
Iceland	..	..
India	94470.9	98590
Indonesia	14648	19600
Iran, Islamic Rep.	8743.9	8452.1
Iraq	3157.4	1301.6
Ireland	299.5	281.3
Isle of Man	..	..
Israel	100.8	61
Italy	4284.6	3254
Jamaica	1.5	2.2
Japan	2002.2	1815.8
Jordan	88.6	55.4
Kazakhstan	13900.9	15144.3
Kenya	2046.3	2813.3
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	1319.7	1217.6
Korea, Rep.	1161.8	858.4
Kosovo	..	..
Kuwait	1.9	1
Kyrgyz Republic	642.4	568.2
Lao PDR	783.1	1232.2
Latvia	415	706.1
Lebanon	56.8	57.2
Lesotho	203.7	55.5
Liberia	120	244.6
Libya	343.4	311.1
Liechtenstein	..	..
Lithuania	918	1326.7
Luxembourg	29.4	27.9
North Macedonia	191.5	166.1
Madagascar	1416.5	1059.4
Malawi	1635.8	1879
Malaysia	701.5	698.8
Maldives	0.1	0.1
Mali	3193.4	5510.7
Malta	2.5	2.9
Marshall Islands	..	..
Mauritania	111.5	256.5
Mauritius	0	0.2
Mexico	9877.1	10260.6
Micronesia, Fed. Sts.	0.1	0.2
Moldova	1014.5	922.7
Monaco	..	..
Mongolia	217.3	377.8
Montenegro	..	2.2
Morocco	4947.9	3804.5
Mozambique	2312.6	2053
Myanmar	7227.5	7792.1
Namibia	325	293.7
Nepal	3334.3	3306.3
Netherlands	226.3	174.3
New Caledonia	1.1	1.3
New Zealand	149.7	130.8
Nicaragua	525.8	482.5
Niger	7860.1	10908.8
Nigeria	17027	20936.6
Northern Mariana Islands	..	..
Norway	327	285.5
Oman	6.6	4.9
Pakistan	12022.1	14087
Palau	..	..
Panama	168.9	139
Papua New Guinea	3.2	3.9
Paraguay	741	1641
Peru	1139.8	1236.8
Philippines	6441.9	7040.6
Poland	8293.4	7400.3
Portugal	514.9	257.3
Puerto Rico	0.2	0.1
Qatar	1.6	0.3
Romania	5714	5480.5
Russian Federation	43030.6	44419
Rwanda	299.9	454.4
Samoa	..	..
San Marino	..	..
Sao Tome and Principe	1.2	0.5
Saudi Arabia	704.8	267
Senegal	1205.3	1453.5
Serbia	..	1765.6
Seychelles	..	..
Sierra Leone	468.4	863.8
Singapore	..	..
Sint Maarten (Dutch part)	..	..
Slovak Republic	820	753.8
Slovenia	100.4	99.4
Solomon Islands	0.5	1.6
Somalia	574	280.7
South Africa	4706.2	2667.8
South Sudan	..	548
Spain	6748.1	6240
Sri Lanka	848.8	999.8
St. Kitts and Nevis	..	..
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	0	0
Sudan	..	12424.9
Suriname	40.1	62.7
Sweden	1129.3	1001.7
Switzerland	173.5	144.3
Syrian Arab Republic	2975.9	2128.5
Tajikistan	363.9	408.2
Tanzania	3354.2	6568.8
Thailand	10941.8	10700.1
Timor-Leste	88.4	85.4
Togo	708.6	1116.8
Tonga	..	..
Trinidad and Tobago	4.3	3.4
Tunisia	446.2	858.7
Turkey	13748	11359.6
Turkmenistan	842.5	2133.6
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	1445	1849.7
Ukraine	13801.7	14020.4
United Arab Emirates	0.2	0.2
United Kingdom	3245.2	3127.6
United States	53570.7	58438.8
Uruguay	483.8	728.5
Uzbekistan	1504.4	1717.5
Vanuatu	1.4	1.5
Venezuela, RB	806.6	520.1
Vietnam	8322.7	8888
Virgin Islands (U.S.)	..	..
West Bank and Gaza	33.7	24.5
Yemen, Rep.	593.1	519.8
Zambia	532	1287.7
Zimbabwe	1586.3	1819.7
World	651891.1	733334.7
East Asia & Pacific	155453.2	183823.4
Latin America & Caribbean	48147.3	53489.6
Middle East & North Africa	26762.6	24453.3
North America	68745.5	72574
South Asia	124561.2	131622.1
Sub-Saharan Africa	72783.7	113016.3
Low income	43948.1	72896.2
Lower middle income	208067.8	232991.4
Upper middle income	247697.8	277121.8
High income	152177.5	150325.2
Europe & Central Asia	155437.6	154356
