Country	Index
Afghanistan	..
Albania	5.8
Algeria	12.1
American Samoa	7.7
Andorra	..
Angola	23.4
Antigua and Barbuda	4.8
Argentina	32.3
Armenia	..
Aruba	7
Australia	33
Austria	..
Azerbaijan	..
Bahamas, The	27.9
Bahrain	28.5
Bangladesh	12.3
Barbados	9.1
Belarus	..
Belgium	87.9
Belize	9.4
Benin	17
Bermuda	1.7
Bhutan	..
Bolivia	..
Bosnia and Herzegovina	..
Botswana	..
Brazil	34.2
Brunei Darussalam	6.2
Bulgaria	6.7
Burkina Faso	..
Burundi	..
Cabo Verde	5.2
Cambodia	9
Cameroon	17.1
Canada	44
Cayman Islands	1.7
Central African Republic	..
Chad	..
Channel Islands	..
Chile	35.2
China	140.1
Hong Kong SAR, China	89.2
Macao SAR, China	..
Colombia	46.6
Comoros	5.8
Congo, Dem. Rep.	6.1
Congo, Rep.	24.2
Costa Rica	17.3
Cote d'Ivoire	18.8
Croatia	30.4
Cuba	10.3
Curacao	8.2
Cyprus	13.8
Czech Republic	..
Denmark	45.7
Djibouti	28.5
Dominica	5.2
Dominican Republic	36.4
Ecuador	31.1
Egypt, Arab Rep.	54
El Salvador	9.3
Equatorial Guinea	11.2
Eritrea	2.8
Estonia	8.5
Ethiopia	..
Faroe Islands	4.7
Fiji	13.3
Finland	14.4
France	71.4
French Polynesia	13.5
Gabon	13.3
Gambia, The	6.1
Georgia	6
Germany	83.5
Ghana	20.5
Greece	45.4
Greenland	2.1
Grenada	6.5
Guam	9.3
Guatemala	21.9
Guinea	11.5
Guinea-Bissau	6
Guyana	9.9
Haiti	11
Honduras	14.4
Hungary	..
Iceland	5.5
India	54.6
Indonesia	42.5
Iran, Islamic Rep.	36.8
Iraq	22.9
Ireland	11.5
Isle of Man	..
Israel	37.4
Italy	65
Jamaica	31.1
Japan	69.3
Jordan	26.1
Kazakhstan	..
Kenya	16
Kiribati	5.8
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	98.5
Kosovo	..
Kuwait	10.8
Kyrgyz Republic	..
Lao PDR	..
Latvia	6.8
Lebanon	39.1
Lesotho	..
Liberia	7.4
Libya	11.6
Liechtenstein	..
Lithuania	12.9
Luxembourg	..
North Macedonia	..
Madagascar	9.3
Malawi	..
Malaysia	90.7
Maldives	3.1
Mali	..
Malta	44.6
Marshall Islands	7.7
Mauritania	7.1
Mauritius	28.7
Mexico	44
Micronesia, Fed. Sts.	2.7
Moldova	0.7
Monaco	..
Mongolia	..
Montenegro	5.3
Morocco	63.7
Mozambique	11.1
Myanmar	9.1
Namibia	16
Nepal	..
Netherlands	83.5
New Caledonia	14.5
New Zealand	34.5
Nicaragua	8.4
Niger	..
Nigeria	22.6
Northern Mariana Islands	7.8
Norway	8.8
Oman	53.9
Pakistan	33.1
Palau	3.6
Panama	47.4
Papua New Guinea	13.2
Paraguay	0.9
Peru	37.7
Philippines	28.1
Poland	47.9
Portugal	46.9
Puerto Rico	11.5
Qatar	26.6
Romania	26.8
Russian Federation	41.2
Rwanda	..
Samoa	6.7
San Marino	..
Sao Tome and Principe	6.3
Saudi Arabia	54.2
Senegal	17.2
Serbia	..
Seychelles	8.2
Sierra Leone	8.2
Singapore	102.4
Sint Maarten (Dutch part)	..
Slovak Republic	..
Slovenia	31.8
Solomon Islands	10.7
Somalia	9
South Africa	37.8
South Sudan	..
Spain	85.8
Sri Lanka	61.3
St. Kitts and Nevis	6.4
St. Lucia	7.1
St. Martin (French part)	..
St. Vincent and the Grenadines	7.9
Sudan	18.8
Suriname	9.4
Eswatini	..
Sweden	48.8
Switzerland	..
Syrian Arab Republic	7.9
Tajikistan	..
Tanzania	13.8
Thailand	42.4
Timor-Leste	2.9
Togo	29.2
Tonga	8.3
Trinidad and Tobago	13.3
Tunisia	8.7
Turkey	53.9
Turkmenistan	..
Turks and Caicos Islands	1.2
Tuvalu	2
Uganda	..
Ukraine	27.6
United Arab Emirates	67.9
United Kingdom	85.6
United States	90
Uruguay	29.4
Uzbekistan	..
Vanuatu	8.5
Venezuela, RB	12
Vietnam	57.6
Virgin Islands (U.S.)	9.2
West Bank and Gaza	..
Yemen, Rep.	9.9
Zambia	..
Zimbabwe	..
World	..
East Asia & Pacific	..
Europe & Central Asia	..
Latin America & Caribbean	..
Middle East & North Africa	..
North America	..
South Asia	..
Sub-Saharan Africa	..
Low income	..
Lower middle income	..
Upper middle income	..
High income	..
