Country	Male_2000	Male_2018	Female_2000	Female_2018
Afghanistan	78.3	74.7	14.6	21.4
Albania	71.7	64.7	51.5	46.8
Algeria	74.7	67.7	11.9	14.6
American Samoa	..	..	..	..
Andorra	..	..	..	..
Angola	79.5	79	75.6	76.1
Antigua and Barbuda	..	..	..	..
Argentina	75.1	72.8	49.8	50.8
Armenia	63	65.9	45.7	47.1
Aruba	..	..	..	..
Australia	72.3	71	54.6	60.4
Austria	68.9	66.7	48.9	55
Azerbaijan	70.7	70.2	56.3	63.7
Bahamas, The	81.1	81.6	68.7	68.2
Bahrain	86.7	87.3	34.8	44.9
Bangladesh	86.6	81.4	27	36.1
Barbados	74.6	69.5	62.7	62
Belarus	65.9	72.1	53.3	58.1
Belgium	61.4	59	43.6	48.7
Belize	81.7	80.6	40.3	49.7
Benin	81.1	73	63.9	68.6
Bermuda	..	..	..	..
Bhutan	76.4	73.1	60.9	58.7
Bolivia	82.1	80.6	59.5	63.4
Bosnia and Herzegovina	57.2	58.3	33.2	35.5
Botswana	68.2	76.8	49.7	65.2
Brazil	78.6	74.3	50.2	54.4
Brunei Darussalam	79.9	71.4	55.9	57.9
Bulgaria	55.9	62.1	44.3	49.3
Burkina Faso	88.3	75	68	58.5
Burundi	82.8	77.8	84.3	80.5
Cabo Verde	76.3	67.5	44.1	53.1
Cambodia	81	88.7	76.8	76.3
Cameroon	86.3	81.2	78.5	71.3
Canada	72.1	69.7	58.6	61
Cayman Islands	..	..	..	..
Central African Republic	79.9	79.8	65.2	64.5
Chad	80.6	77.6	64.4	64
Channel Islands	69.9	66.2	49.3	50.9
Chile	75.5	73.9	38.3	51.6
China	83.4	75.7	71.1	61.1
Hong Kong SAR, China	73.6	67.9	49.6	54.3
Macao SAR, China	76.1	76.7	55.9	65.3
Colombia	83.2	80.9	53.6	57.2
Comoros	51.9	49.9	32.2	36.4
Congo, Dem. Rep.	72.6	66.5	70.6	61
Congo, Rep.	70.3	71.6	66.2	67.6
Costa Rica	80.5	76.5	38.7	48
Cote d'Ivoire	80.8	65.7	48.3	48.1
Croatia	62.9	57.8	45.3	45.5
Cuba	67.8	66.8	36.3	40.9
Curacao	..	..	..	..
Cyprus	72	68.6	49.6	57.9
Czech Republic	69.3	68.9	51.6	53.1
Denmark	71.7	66.4	60	58.3
Djibouti	77.7	68.8	46.6	50.7
Dominica	..	..	..	..
Dominican Republic	78.8	77.5	40.4	51.2
Ecuador	83.7	81.1	51.5	55.1
Egypt, Arab Rep.	72.6	70.8	19.9	21.8
El Salvador	79.8	75.6	45.4	45.1
Equatorial Guinea	66.4	66.8	50.9	54.7
Eritrea	86.9	85.6	70.1	71.5
Estonia	66.6	71.3	52.6	57.4
Eswatini	58.5	56.6	44	48.3
Ethiopia	89.8	85.8	71.1	73.3
Faroe Islands	..	..	..	..
Fiji	77.7	76.7	36.7	38.3
Finland	66.2	63	56.2	55.7
France	62.9	60.2	48.5	50.8
French Polynesia	69.1	61.1	48	47.8
Gabon	57.9	61.7	36.5	43.2
Gambia, The	69.8	67.9	47.2	51
Georgia	73.5	80.7	54.9	57.4
Germany	67.7	66.7	49	55.2
Ghana	76.7	71.9	72.8	63.8
Greece	66.2	60.2	40.9	44.4
Greenland	..	..	..	..
Grenada	..	..	..	..
Guam	81.1	76.5	57.5	52.7
Guatemala	85.4	86.3	41.2	39.9
Guinea	65.6	60.1	62.7	62.7
Guinea-Bissau	80.6	78.7	64.6	65.8
Guyana	79.7	68.6	35.4	43.8
Haiti	69.5	72.6	57.5	61.7
Honduras	88.2	86	44.8	51.9
Hungary	57.9	65.7	41.1	48.4
Iceland	83	79.5	73.7	71.1
India	83	76.2	30.4	20.7
Indonesia	83.6	82	51.1	53
Iran, Islamic Rep.	73.6	71.9	13.9	17.7
Iraq	75.5	74.2	9.7	11.4
Ireland	75.4	68.8	50.1	56.2
Isle of Man	..	..	..	..
Israel	69.7	68.6	53.2	59.7
Italy	61.2	59.3	35.3	40.8
Jamaica	76	72.3	58.1	59.5
Japan	76.6	71.6	49.3	52.8
Jordan	68.9	64	12.7	14.4
Kazakhstan	77	75.8	65.5	63
Kenya	73.5	77.2	68.6	71.9
Kiribati	..	..	..	..
Korea, Dem. Peopleâ€™s Rep.	89.3	87.8	75.7	73.5
Korea, Rep.	73.7	73.1	48.8	52.9
Kosovo	..	..	..	..
Kuwait	82.9	87.6	43.3	49.9
Kyrgyz Republic	73.9	75.7	55.2	45
Lao PDR	81.1	80.2	79.1	76.7
Latvia	64.9	68.8	48.9	56
Lebanon	71.7	71.5	21.6	22.9
Lesotho	80.4	75.8	67.7	60.2
Liberia	79.5	80.7	69.4	72
Libya	59.2	65.3	28.9	34
Liechtenstein	..	..	..	..
Lithuania	66.5	67.8	54.8	56.7
Luxembourg	66	63.6	41.4	54.7
Madagascar	89.2	88.9	84.1	83.3
Malawi	80	80.9	75.9	72.6
Malaysia	78.1	77	44.6	50.6
Maldives	71	83.2	37.4	41.6
Mali	79.9	80.6	60	61.3
Malta	70.6	67.3	29.9	46.1
Marshall Islands	..	..	..	..
Mauritania	72.2	63.1	29.8	28.8
Mauritius	78.9	72.4	39.7	45.2
Mexico	82.5	78.6	38.9	44.1
Micronesia, Fed. Sts.	..	..	..	..
Moldova	52.1	46.2	50	40.9
Monaco	..	..	..	..
Mongolia	65.9	66.5	54.3	53.4
Montenegro	56.2	62.8	41.5	46.4
Morocco	76.9	70.3	24.3	21.6
Mozambique	82.7	79.1	87.5	77.5
Myanmar	84.9	77.6	59.1	47.7
Namibia	62.7	62.9	47.9	55.5
Nepal	90.4	85	81.4	82.7
Netherlands	72.8	69.4	53.2	58.4
New Caledonia	73	68.5	61.9	58
New Zealand	73.2	75.4	56.7	64.8
Nicaragua	86.5	84.3	38.5	49.4
Niger	90.2	83.9	68.9	60.9
Nigeria	64.7	58	55.3	48.2
North Macedonia	65.5	67.5	40.9	43
Northern Mariana Islands	..	..	..	..
Norway	72.8	67.4	61.2	60.4
Oman	77.2	89.4	23.3	30.9
Pakistan	83.8	81.8	16.1	21.7
Palau	..	..	..	..
Panama	80.9	80	44.9	53.4
Papua New Guinea	73.4	48.2	70.6	46.6
Paraguay	86.4	84.7	52.6	59
Peru	80.3	84.8	54.9	70
Philippines	77.3	73.3	47.7	46
Poland	63.6	65.8	49.6	48.9
Portugal	69.7	64.5	52.7	54.5
Puerto Rico	59.4	48.9	34.7	32.2
Qatar	92.4	94.5	41.7	56.9
Romania	71.2	65.1	58	45.7
Russian Federation	69.1	70.7	54.6	55.2
Rwanda	87	83.4	84.5	83.9
Samoa	57.5	55.7	32.9	31.2
San Marino	..	..	..	..
Sao Tome and Principe	72.8	74.7	38.6	41.6
Saudi Arabia	75.6	78.1	16.1	22
Senegal	71	57.6	33.4	35
Serbia	66	63.1	46.9	47.5
Seychelles	..	..	..	..
Sierra Leone	65.2	58.5	63.1	57.4
Singapore	79.2	78.4	52.2	62.1
Sint Maarten (Dutch part)	..	..	..	..
Slovak Republic	67.8	67.8	52.3	52.4
Slovenia	64	64.1	51.2	53.8
Solomon Islands	85.4	85.6	82.3	82.1
Somalia	77	73.5	21.9	21.7
South Africa	66.4	62.8	45	49.5
South Sudan	78.1	73.9	70.8	70.9
Spain	65.7	63.8	40.6	52
Sri Lanka	77	74.9	37.3	35.6
St. Kitts and Nevis	..	..	..	..
St. Lucia	75.2	75	53	59.3
St. Martin (French part)	..	..	..	..
St. Vincent and the Grenadines	80.3	77.1	49.5	54.3
Sudan	74.1	68.3	28.3	29.1
Suriname	66.3	63.9	34	38.7
Sweden	66.5	67.8	58.4	61.3
Switzerland	77.7	74	57.8	62.9
Syrian Arab Republic	80.2	74.1	20.1	14.6
Tajikistan	54.7	52.7	30.2	31.2
Tanzania	89.8	87.4	84.6	79.7
Thailand	81.1	76.3	65.6	59.5
Timor-Leste	78.5	72.8	66.5	61.9
Togo	80.6	79	80.3	76.5
Tonga	73.5	74.4	44.2	45.7
Trinidad and Tobago	76.2	70.8	46.5	50.3
Tunisia	71.2	69.7	23.2	23.9
Turkey	72.6	72.7	26.3	34.1
Turkmenistan	75.1	78.4	50.5	51.6
Turks and Caicos Islands	..	..	..	..
Tuvalu	..	..	..	..
Uganda	76.8	74	64.1	66.9
Ukraine	64.4	63.3	50.8	47
United Arab Emirates	91.5	93.3	33.8	52.4
United Kingdom	69.9	68.1	53.6	57.6
United States	74.2	68.5	59	56.4
Uruguay	74.8	73.3	50.8	55.4
Uzbekistan	74.2	78	50.9	52.4
Vanuatu	77.5	78.8	60	61
Venezuela, RB	79.4	75.3	47.6	45.7
Vietnam	81	82.5	72	72.8
Virgin Islands (U.S.)	70.7	63.1	59.2	58.6
West Bank and Gaza	68.6	69.1	12.5	17.4
Yemen, Rep.	71.5	70.1	20.4	6
Zambia	85.1	79.2	73.6	70.4
Zimbabwe	87.4	89	72.1	78
World	78.5	74.4	50.9	47.4
East Asia & Pacific	82	76.3	65	59
Europe & Central Asia	67.3	66.9	48.4	50.8
Latin America & Caribbean	79.4	76.8	47.3	52
Middle East & North Africa	74.2	73.1	18.6	20.2
North America	74	68.6	59	56.9
South Asia	83.3	77.3	29.6	23.5
Sub-Saharan Africa	76.5	72.5	63.2	61.5
Low income	80.4	76.6	60.4	58
Lower middle income	80.6	75.6	38.2	33.6
Upper middle income	80.4	75.6	59.4	54.9
High income	70.9	68.5	50.8	53.1
