Country	$ (2010)	$ (2019)	% (2010)	% (2019)
Afghanistan	..	..	..	..
Albania	..	..	..	..
Algeria	105	371	0.1	0.2
American Samoa	..	..	..	..
Andorra	..	..	..	..
Angola	..	..	..	..
Antigua and Barbuda	..	..	..	..
Argentina	63910	39394	15.1	8.8
Armenia	..	..	..	..
Aruba	..	..	..	..
Australia	1454491	1487599	126.9	106.8
Austria	126032	133098	32.2	29.8
Azerbaijan	..	..	..	..
Bahamas, The	..	..	..	..
Bahrain	20060	26882	78	69.7
Bangladesh	41617	77391	36.1	28.2
Barbados	2187	3398	48.3	65.2
Belarus	..	0	..	0
Belgium	268726	321094	55.9	59.2
Belize	..	..	..	..
Benin	..	..	..	..
Bermuda	1535	2965	26.7	..
Bhutan	..	..	..	..
Bolivia	..	..	..	..
Bosnia and Herzegovina	..	..	..	..
Botswana	..	..	..	..
Brazil	1545566	1187362	70	64.5
Brunei Darussalam	..	..	..	..
Bulgaria	7376	..	14.6	..
Burkina Faso	..	..	..	..
Burundi	..	..	..	..
Cambodia	..	..	..	..
Cameroon	..	..	..	..
Canada	2171195	1937903	134.6	112.9
Cabo Verde	..	..	..	..
Cayman Islands	238	..	5.7	..
Central African Republic	..	..	..	..
Chad	..	..	..	..
Channel Islands	..	..	..	..
Chile	341799	203792	156.4	72.2
China	4027840	8515504	66.2	59.4
Hong Kong SAR, China	2711316	4899235	1185.9	1338.5
Macao SAR, China	..	..	..	..
Colombia	208502	132040	72.8	40.8
Comoros	..	..	..	..
Congo, Dem. Rep.	..	..	..	..
Congo, Rep.	..	..	..	..
Costa Rica	1445	2217	3.9	3.6
Cote d'Ivoire	..	..	..	..
Croatia	25596	22458	42.8	37.2
Cuba	..	..	..	..
Curacao	..	..	..	..
Cyprus	6834	4285	26.6	17.4
Czech Republic	40912	..	17.4	..
Denmark	..	..	..	..
Djibouti	..	..	..	..
Dominica	..	..	..	..
Dominican Republic	..	..	..	..
Ecuador	..	..	..	..
Egypt, Arab Rep.	84277	44200	38.5	14.6
El Salvador	..	..	..	..
Equatorial Guinea	..	..	..	..
Eritrea	..	..	..	..
Estonia	..	..	..	..
Ethiopia	..	..	..	..
Faroe Islands	..	..	..	..
Fiji	..	..	..	..
Finland	..	..	..	..
France	1911515	2365950	72.3	84.9
French Polynesia	..	..	..	..
Gabon	..	..	..	..
Gambia, The	..	..	..	..
Georgia	..	..	..	..
Germany	1429719	2098174	42.1	54.6
Ghana	2948	..	9.2	..
Greece	67586	53654	22.6	25.6
Greenland	..	..	..	..
Grenada	..	..	..	..
Guam	..	..	..	..
Guatemala	..	..	..	..
Guinea	..	..	..	..
Guinea-Bissau	..	..	..	..
Guyana	..	..	..	..
Haiti	..	..	..	..
Honduras	..	..	..	..
Hungary	27708	32887	21.1	20.4
Iceland	..	..	..	..
India	1631830	2179781	97.4	75.8
Indonesia	360388	523322	47.7	46.8
Iran, Islamic Rep.	86642	320671	17.8	24.4
Iraq	..	..	..	..
Ireland	60368	110154	27.2	28.8
Isle of Man	..	..	..	..
Israel	227614	237371	97.3	60.1
Italy	522088	..	21.8	..
Jamaica	3884	15767	29.4	95.8
Japan	3827774	6191073	67.2	121.8
Jordan	30864	21036	115.2	48.1
Kazakhstan	26673	40640	18	22.6
Kenya	14461	25062	36.2	26.2
Kiribati	..	..	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..	..	..
Korea, Rep.	1091911	1413717	95.4	82.2
Kosovo	..	..	..	..
Kuwait	..	..	..	..
Kyrgyz Republic	..	..	..	..
Lao PDR	..	..	..	..
Latvia	..	..	..	..
Lebanon	12697	7736	33	14.5
Lesotho	..	..	..	..
Liberia	..	..	..	..
Libya	..	..	..	..
Liechtenstein	..	..	..	..
Lithuania	..	..	..	..
Luxembourg	101129	44234	190	62.2
North Macedonia	..	..	..	..
Madagascar	..	..	..	..
Malawi	..	..	..	..
Malaysia	408689	403957	160.3	110.8
Maldives	..	..	..	..
Mali	..	..	..	..
Malta	4194	5316	47.9	36
Marshall Islands	..	..	..	..
Mauritania	..	..	..	..
Mauritius	7753	8616	77.5	60.8
Mexico	454345	413619	43	32.9
Micronesia, Fed. Sts.	..	..	..	..
Moldova	..	..	..	..
Monaco	..	..	..	..
Mongolia	..	..	..	..
Montenegro	3223	..	77.9	..
Morocco	69152	65415	74.2	55.1
Mozambique	..	..	..	..
Myanmar	..	..	..	..
Namibia	1176	2609	10.4	21.1
Nepal	..	..	..	..
Netherlands	661099	1100105	78.1	131.9
New Caledonia	..	..	..	..
New Zealand	43516	107880	29.7	52.1
Nicaragua	..	..	..	..
Niger	..	..	..	..
Nigeria	50546	43922	13.9	9.8
Northern Mariana Islands	..	..	..	..
Norway	295288	295549	68.9	73.3
Oman	28316	17119	49.6	22.2
Pakistan	38007	..	21.5	..
Palau	..	..	..	..
Panama	8348	16841	28.4	25.2
Papua New Guinea	11027	..	77.4	..
Paraguay	..	..	..	..
Peru	103347	98965	70.1	43.6
Philippines	157321	275302	75.5	73.1
Poland	190706	151619	39.8	25.6
Portugal	81997	61934	34.5	25.7
Puerto Rico	..	..	..	..
Qatar	76531	160051	66.4	87.2
Romania	14201	26110	8.5	10.4
Russian Federation	951296	576116	62.4	34.5
Rwanda	..	3214	..	31.8
Samoa	..	..	..	..
San Marino	..	..	..	..
Sao Tome and Principe	..	..	..	..
Saudi Arabia	353410	2406820	66.9	303.5
Senegal	..	..	..	..
Serbia	1542	..	3.7	..
Seychelles	..	1137	..	66.9
Sierra Leone	..	..	..	..
Singapore	647226	697271	269.9	187.4
Sint Maarten (Dutch part)	..	..	..	..
Slovak Republic	4167	..	4.6	..
Slovenia	9428	7923	19.6	14.7
Solomon Islands	..	..	..	..
Somalia	..	..	..	..
South Africa	925007	1056341	246.4	300.6
South Sudan	..	..	..	..
Spain	1171625	797286	82.5	57.2
Sri Lanka	19924	15721	35.1	18.7
St. Kitts and Nevis	..	..	..	..
St. Lucia	..	..	..	..
St. Martin (French part)	..	..	..	..
St. Vincent and the Grenadines	..	..	..	..
Sudan	..	..	..	..
Suriname	..	..	..	..
Eswatini	..	..	..	..
Sweden	..	..	..	..
Switzerland	1229357	1834453	210.6	260.9
Syrian Arab Republic	..	..	..	..
Tajikistan	..	..	..	..
Tanzania	..	..	..	..
Thailand	277732	569228	81.4	104.7
Timor-Leste	..	..	..	..
Togo	..	..	..	..
Tonga	..	..	..	..
Trinidad and Tobago	..	..	..	..
Tunisia	10652	8503	24.2	21.9
Turkey	302443	184966	39.2	24.5
Turkmenistan	..	..	..	..
Turks and Caicos Islands	..	..	..	..
Tuvalu	..	..	..	..
Uganda	..	..	..	..
Ukraine	38897	4415	28.6	3.4
United Arab Emirates	131491	247209	45.4	58.7
United Kingdom	1868153	..	63.9	..
United States	17283452	30436313	115.3	147.9
Uruguay	..	..	..	..
Uzbekistan	..	..	..	..
Vanuatu	..	..	..	..
Venezuela, RB	..	..	..	..
Vietnam	36855	149817	31.8	57.2
Virgin Islands (U.S.)	..	..	..	..
West Bank and Gaza	2450	3758	27.5	25.6
Yemen, Rep.	..	..	..	..
Zambia	3184	..	13.6	..
Zimbabwe	..	..	..	..
World	50941862	68650476	88.4	92.3
East Asia & Pacific	15942386	23820189	94.7	97.5
Europe & Central Asia	9014532	11070542	61.4	75.1
Latin America & Caribbean	2733571	2113395	61.7	46.6
Middle East & North Africa	1061923	3572088	47.8	130.9
North America	19456181	32376609	117.1	145.2
South Asia	1731377	2195502	85.5	74.2
Sub-Saharan Africa	..	..	..	..
Low income	..	..	..	..
Lower middle income	2210069	2811480	63.9	61
Upper middle income	9804587	13535376	65	60.1
High income	38927206	54870123	99.6	118.4
