Country	%
Afghanistan	..
Albania	5
Algeria	7
American Samoa	..
Andorra	7
Angola	15
Antigua and Barbuda	9
Argentina	7
Armenia	9
Aruba	..
Australia	7
Austria	7
Azerbaijan	7
Bahamas, The	13
Bahrain	12
Bangladesh	28
Barbados	..
Belarus	5
Belgium	7
Belize	9
Benin	17
Bermuda	..
Bhutan	12
Bolivia	7
Bosnia and Herzegovina	3
Botswana	16
Brazil	8
Brunei Darussalam	11
Bulgaria	10
Burkina Faso	13
Burundi	15
Cabo Verde	..
Cambodia	12
Cameroon	12
Canada	6
Cayman Islands	..
Central African Republic	15
Chad	..
Channel Islands	..
Chile	6
China	5
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	10
Comoros	24
Congo, Dem. Rep.	11
Congo, Rep.	12
Costa Rica	7
Cote d'Ivoire	15
Croatia	5
Cuba	5
Curacao	..
Cyprus	..
Czech Republic	8
Denmark	5
Djibouti	..
Dominica	..
Dominican Republic	11
Ecuador	11
Egypt, Arab Rep.	..
El Salvador	10
Equatorial Guinea	..
Eritrea	..
Estonia	4
Eswatini	10
Ethiopia	..
Faroe Islands	..
Fiji	..
Finland	4
France	7
French Polynesia	..
Gabon	14
Gambia, The	17
Georgia	6
Germany	7
Ghana	14
Greece	9
Greenland	..
Grenada	..
Guam	..
Guatemala	11
Guinea	..
Guinea-Bissau	21
Guyana	16
Haiti	..
Honduras	11
Hungary	9
Iceland	4
India	..
Indonesia	10
Iran, Islamic Rep.	..
Iraq	..
Ireland	6
Isle of Man	..
Israel	8
Italy	7
Jamaica	15
Japan	9
Jordan	14
Kazakhstan	5
Kenya	11
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	6
Kosovo	..
Kuwait	10
Kyrgyz Republic	6
Lao PDR	17
Latvia	5
Lebanon	9
Lesotho	15
Liberia	..
Libya	..
Liechtenstein	..
Lithuania	5
Luxembourg	7
Madagascar	17
Malawi	14
Malaysia	11
Maldives	12
Mali	..
Malta	6
Marshall Islands	..
Mauritania	..
Mauritius	17
Mexico	8
Micronesia, Fed. Sts.	..
Moldova	5
Monaco	5
Mongolia	5
Montenegro	5
Morocco	17
Mozambique	14
Myanmar	12
Namibia	16
Nepal	22
Netherlands	6
New Caledonia	..
New Zealand	6
Nicaragua	11
Niger	..
Nigeria	..
North Macedonia	9
Northern Mariana Islands	..
Norway	4
Oman	11
Pakistan	..
Palau	..
Panama	10
Papua New Guinea	..
Paraguay	8
Peru	9
Philippines	20
Poland	6
Portugal	9
Puerto Rico	..
Qatar	7
Romania	8
Russian Federation	6
Rwanda	8
Samoa	..
San Marino	3
Sao Tome and Principe	7
Saudi Arabia	..
Senegal	18
Serbia	5
Seychelles	12
Sierra Leone	14
Singapore	10
Sint Maarten (Dutch part)	..
Slovak Republic	8
Slovenia	6
Solomon Islands	..
Somalia	..
South Africa	14
South Sudan	..
Spain	8
Sri Lanka	16
St. Kitts and Nevis	..
St. Lucia	..
St. Martin (French part)	..
St. Vincent and the Grenadines	..
Sudan	..
Suriname	15
Sweden	2
Switzerland	6
Syrian Arab Republic	..
Tajikistan	6
Tanzania	10
Thailand	11
Timor-Leste	..
Togo	16
Tonga	..
Trinidad and Tobago	12
Tunisia	7
Turkey	11
Turkmenistan	5
Turks and Caicos Islands	..
Tuvalu	..
Uganda	..
Ukraine	6
United Arab Emirates	13
United Kingdom	7
United States	8
Uruguay	8
Uzbekistan	5
Vanuatu	11
Venezuela, RB	9
Vietnam	8
Virgin Islands (U.S.)	..
West Bank and Gaza	8
Yemen, Rep.	..
Zambia	12
Zimbabwe	13
World	15
East Asia & Pacific	8
Europe & Central Asia	7
Latin America & Caribbean	9
Middle East & North Africa	..
North America	8
South Asia	..
Sub-Saharan Africa	..
Low income	..
Lower middle income	..
Upper middle income	7
High income	8
