Country	Exports
Afghanistan	..
Albania	20.7
Algeria	0.5
American Samoa	..
Andorra	..
Angola	21.9
Antigua and Barbuda	..
Argentina	45
Armenia	29.9
Aruba	..
Australia	..
Austria	..
Azerbaijan	10.5
Bahamas, The	..
Bahrain	..
Bangladesh	6.3
Barbados	..
Belarus	13.5
Belgium	..
Belize	10.1
Benin	7.8
Bermuda	..
Bhutan	10.7
Bolivia	9.6
Bosnia and Herzegovina	10.8
Botswana	2.4
Brazil	31.7
Brunei Darussalam	..
Bulgaria	15.3
Burkina Faso	..
Burundi	..
Cabo Verde	5.6
Cambodia	6.7
Cameroon	..
Canada	..
Cayman Islands	..
Central African Republic	..
Chad	..
Channel Islands	..
Chile	..
China	8.2
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	40.8
Comoros	..
Congo, Dem. Rep.	2.4
Congo, Rep.	..
Costa Rica	18.3
Cote d'Ivoire	..
Croatia	..
Cuba	..
Curacao	..
Cyprus	..
Czech Republic	..
Denmark	..
Djibouti	..
Dominica	16.5
Dominican Republic	15.1
Ecuador	36.7
Egypt, Arab Rep.	15
El Salvador	45.8
Equatorial Guinea	..
Eritrea	..
Estonia	..
Ethiopia	..
Faroe Islands	..
Fiji	2
Finland	..
France	..
French Polynesia	..
Gabon	..
Gambia, The	..
Georgia	23.7
Germany	..
Ghana	..
Greece	..
Greenland	..
Grenada	8.4
Guam	..
Guatemala	26.7
Guinea	2.2
Guinea-Bissau	..
Guyana	..
Haiti	1.2
Honduras	28.1
Hungary	..
Iceland	..
India	11.4
Indonesia	26
Iran, Islamic Rep.	0.8
Iraq	..
Ireland	..
Isle of Man	..
Israel	..
Italy	..
Jamaica	20.4
Japan	..
Jordan	14.1
Kazakhstan	48.3
Kenya	22.6
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	..
Kosovo	11.4
Kuwait	..
Kyrgyz Republic	31.3
Lao PDR	14.6
Latvia	..
Lebanon	72.1
Lesotho	3.6
Liberia	..
Libya	..
Liechtenstein	..
Lithuania	..
Luxembourg	..
North Macedonia	16.6
Madagascar	2.7
Malawi	..
Malaysia	..
Maldives	9.2
Mali	..
Malta	..
Marshall Islands	..
Mauritania	..
Mauritius	23.3
Mexico	11.9
Micronesia, Fed. Sts.	..
Moldova	12.9
Monaco	..
Mongolia	101.6
Montenegro	63.7
Morocco	8.8
Mozambique	13.1
Myanmar	4.9
Namibia	..
Nepal	..
Netherlands	..
New Caledonia	..
New Zealand	..
Nicaragua	19
Niger	..
Nigeria	8.3
Northern Mariana Islands	..
Norway	..
Oman	..
Pakistan	19.9
Palau	..
Panama	..
Papua New Guinea	26.1
Paraguay	15.7
Peru	12.2
Philippines	8.7
Poland	..
Portugal	..
Puerto Rico	..
Qatar	..
Romania	20.8
Russian Federation	19.6
Rwanda	12.6
Samoa	9.8
San Marino	..
Sao Tome and Principe	4.5
Saudi Arabia	..
Senegal	..
Serbia	22.3
Seychelles	..
Sierra Leone	..
Singapore	..
Sint Maarten (Dutch part)	..
Slovak Republic	..
Slovenia	..
Solomon Islands	5.6
Somalia	..
South Africa	19.9
South Sudan	..
Spain	..
Sri Lanka	36
St. Kitts and Nevis	..
St. Lucia	3.9
St. Martin (French part)	..
St. Vincent and the Grenadines	12.3
Sudan	4.2
Suriname	..
Eswatini	2.3
Sweden	..
Switzerland	..
Syrian Arab Republic	..
Tajikistan	22
Tanzania	..
Thailand	5.4
Timor-Leste	0.3
Togo	..
Tonga	7.2
Trinidad and Tobago	..
Tunisia	14
Turkey	36.7
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	..
Uganda	12.2
Ukraine	20.7
United Arab Emirates	..
United Kingdom	..
United States	..
Uruguay	..
Uzbekistan	5.8
Vanuatu	..
Venezuela, RB	..
Vietnam	7.1
Virgin Islands (U.S.)	..
West Bank and Gaza	..
Yemen, Rep.	..
Zambia	14.6
Zimbabwe	11.7
World	..
East Asia & Pacific	..
Europe & Central Asia	..
Latin America & Caribbean	..
Middle East & North Africa	..
North America	..
South Asia	12.1
Sub-Saharan Africa	..
Low income	..
Lower middle income	13.7
Upper middle income	14.3
High income	..
