Country	1990	2018
Afghanistan	50	64
Albania	72	78
Algeria	67	77
American Samoa	..	..
Andorra	..	..
Angola	45	61
Antigua and Barbuda	72	77
Argentina	72	77
Armenia	68	75
Aruba	73	76
Australia	77	83
Austria	76	82
Azerbaijan	65	73
Bahamas, The	70	74
Bahrain	72	77
Bangladesh	58	72
Barbados	75	79
Belarus	71	74
Belgium	76	82
Belize	71	74
Benin	54	61
Bermuda	74	82
Bhutan	53	71
Bolivia	56	71
Bosnia and Herzegovina	71	77
Botswana	59	69
Brazil	66	76
Brunei Darussalam	70	76
Bulgaria	72	75
Burkina Faso	49	61
Burundi	48	61
Cabo Verde	65	73
Cambodia	54	70
Cameroon	53	59
Canada	77	82
Cayman Islands	..	..
Central African Republic	49	53
Chad	47	54
Channel Islands	75	83
Chile	74	80
China	69	77
Hong Kong SAR, China	77	85
Macao SAR, China	77	84
Colombia	70	77
Comoros	57	64
Congo, Dem. Rep.	49	60
Congo, Rep.	55	64
Costa Rica	76	80
Cote d'Ivoire	53	57
Croatia	72	78
Cuba	75	79
Curacao	..	78
Cyprus	77	81
Czech Republic	71	79
Denmark	75	81
Djibouti	57	67
Dominica	74	..
Dominican Republic	67	74
Ecuador	69	77
Egypt, Arab Rep.	65	72
El Salvador	64	73
Equatorial Guinea	49	58
Eritrea	50	66
Estonia	69	78
Eswatini	62	59
Ethiopia	47	66
Faroe Islands	76	83
Fiji	65	67
Finland	75	82
France	77	83
French Polynesia	69	77
Gabon	61	66
Gambia, The	52	62
Georgia	70	74
Germany	75	81
Ghana	57	64
Greece	77	82
Greenland	65	71
Grenada	70	72
Guam	72	80
Guatemala	62	74
Guinea	50	61
Guinea-Bissau	47	58
Guyana	63	70
Haiti	54	64
Honduras	67	75
Hungary	69	76
Iceland	78	83
India	58	69
Indonesia	62	72
Iran, Islamic Rep.	64	76
Iraq	66	70
Ireland	75	82
Isle of Man	..	..
Israel	77	83
Italy	77	83
Jamaica	73	74
Japan	79	84
Jordan	70	74
Kazakhstan	68	73
Kenya	57	66
Kiribati	60	68
Korea, Dem. Peopleâ€™s Rep.	70	72
Korea, Rep.	72	83
Kosovo	68	72
Kuwait	72	75
Kyrgyz Republic	68	71
Lao PDR	53	68
Latvia	69	75
Lebanon	70	79
Lesotho	60	54
Liberia	46	64
Libya	69	73
Liechtenstein	..	83
Lithuania	71	76
Luxembourg	75	82
Madagascar	51	67
Malawi	46	64
Malaysia	71	76
Maldives	62	79
Mali	46	59
Malta	77	82
Marshall Islands	..	..
Mauritania	60	65
Mauritius	69	74
Mexico	71	75
Micronesia, Fed. Sts.	64	68
Moldova	68	72
Monaco	..	..
Mongolia	60	70
Montenegro	75	77
Morocco	65	76
Mozambique	45	60
Myanmar	57	67
Namibia	62	63
Nepal	54	70
Netherlands	77	82
New Caledonia	70	77
New Zealand	75	82
Nicaragua	64	74
Niger	44	62
Nigeria	46	54
North Macedonia	71	76
Northern Mariana Islands	..	..
Norway	77	83
Oman	67	78
Pakistan	60	67
Palau	69	..
Panama	73	78
Papua New Guinea	56	64
Paraguay	69	74
Peru	66	77
Philippines	66	71
Poland	71	78
Portugal	74	81
Puerto Rico	74	80
Qatar	76	80
Romania	70	75
Russian Federation	69	73
Rwanda	33	69
Samoa	66	73
San Marino	..	..
Sao Tome and Principe	58	70
Saudi Arabia	69	75
Senegal	57	68
Serbia	71	76
Seychelles	68	73
Sierra Leone	39	54
Singapore	75	83
Sint Maarten (Dutch part)	..	78
Slovak Republic	71	77
Slovenia	73	81
Solomon Islands	64	73
Somalia	45	57
South Africa	63	64
South Sudan	44	58
Spain	77	83
Sri Lanka	70	77
St. Kitts and Nevis	68	..
St. Lucia	71	76
St. Martin (French part)	75	80
St. Vincent and the Grenadines	71	72
Sudan	56	65
Suriname	67	72
Sweden	78	83
Switzerland	77	84
Syrian Arab Republic	71	72
Tajikistan	59	71
Tanzania	50	65
Thailand	70	77
Timor-Leste	48	69
Togo	56	61
Tonga	69	71
Trinidad and Tobago	68	73
Tunisia	69	77
Turkey	64	77
Turkmenistan	63	68
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	46	63
Ukraine	70	72
United Arab Emirates	72	78
United Kingdom	76	81
United States	75	79
Uruguay	73	78
Uzbekistan	66	72
Vanuatu	65	70
Venezuela, RB	71	72
Vietnam	71	75
Virgin Islands (U.S.)	74	80
West Bank and Gaza	68	74
Yemen, Rep.	57	66
Zambia	49	64
Zimbabwe	58	61
World	65	73
East Asia & Pacific	69	76
Europe & Central Asia	72	78
Latin America & Caribbean	68	75
Middle East & North Africa	66	74
North America	75	79
South Asia	58	69
Sub-Saharan Africa	50	61
Low income	51	63
Lower middle income	59	68
Upper middle income	68	75
High income	75	81
