Country	Survey year	Poorest quintile	Richest quintile
Afghanistan	2015	15	9
Albania	2009	6	1
Algeria	2013	..	..
American Samoa	..	..	..
Andorra	..	..	..
Angola	2016	48	16
Antigua and Barbuda	..	..	..
Argentina	..	..	..
Armenia	2016	6	0
Aruba	..	..	..
Australia	..	..	..
Austria	..	..	..
Azerbaijan	..	..	..
Bahamas, The	..	..	..
Bahrain	..	..	..
Bangladesh	2014	41	23
Barbados	..	..	..
Belarus	..	..	..
Belgium	..	..	..
Belize	2016	..	..
Benin	2018	31	9
Bermuda	..	..	..
Bhutan	2010	..	..
Bolivia	2008	31	8
Bosnia and Herzegovina	..	..	..
Botswana	..	..	..
Brazil	..	..	..
Brunei Darussalam	..	..	..
Bulgaria	..	..	..
Burkina Faso	2010	36	12
Burundi	2017	13	7
Cambodia	2014	18	7
Cameroon	2014	38	14
Canada	..	..	..
Cabo Verde	..	..	..
Cayman Islands	..	..	..
Central African Republic	2010	..	..
Chad	2015	47	25
Channel Islands	..	..	..
Chile	..	..	..
China	..	..	..
Hong Kong SAR, China	..	..	..
Macao SAR, China	..	..	..
Colombia	2015	27	5
Comoros	2012	17	4
Congo, Dem. Rep.	2014	42	15
Congo, Rep.	2016	51	17
Costa Rica	..	..	..
Cote d'Ivoire	2016	51	13
Croatia	..	..	..
Cuba	..	..	..
Curacao	..	..	..
Cyprus	..	..	..
Czech Republic	..	..	..
Denmark	..	..	..
Djibouti	..	..	..
Dominica	..	..	..
Dominican Republic	2014	35	9
Ecuador	..	..	..
Egypt, Arab Rep.	2014	9	4
El Salvador	2014	..	..
Equatorial Guinea	..	..	..
Eritrea	..	..	..
Estonia	..	..	..
Eswatini	2014	..	..
Ethiopia	2016	24	6
Faroe Islands	..	..	..
Fiji	..	..	..
Finland	..	..	..
France	..	..	..
French Polynesia	..	..	..
Gabon	2012	49	10
Gambia, The	2018	25	6
Georgia	..	..	..
Germany	..	..	..
Ghana	2014	24	8
Greece	..	..	..
Greenland	..	..	..
Grenada	..	..	..
Guam	..	..	..
Guatemala	2015	28	11
Guinea	2018	35	14
Guinea-Bissau	2014	..	..
Guyana	2009	38	4
Haiti	2017	19	4
Honduras	2012	35	11
Hungary	..	..	..
Iceland	..	..	..
India	2016	11	3
Indonesia	2017	13	2
Iran, Islamic Rep.	..	..	..
Iraq	2018	..	..
Ireland	..	..	..
Isle of Man	..	..	..
Israel	..	..	..
Italy	..	..	..
Jamaica	..	..	..
Japan	..	..	..
Jordan	2018	13	1
Kazakhstan	2011	..	..
Kenya	2014	22	9
Kiribati	..	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..	..
Korea, Rep.	..	..	..
Kosovo	..	..	..
Kuwait	..	..	..
Kyrgyz Republic	2018	7	2
Lao PDR	2017	..	..
Latvia	..	..	..
Lebanon	..	..	..
Lesotho	2018	28	6
Liberia	2013	48	13
Libya	..	..	..
Liechtenstein	..	..	..
Lithuania	..	..	..
Luxembourg	..	..	..
Madagascar	2009	53	20
Malawi	2016	43	17
Malaysia	..	..	..
Maldives	2017	3	2
Mali	2018	34	25
Malta	..	..	..
Marshall Islands	..	..	..
Mauritania	2015	..	..
Mauritius	..	..	..
Mexico	..	..	..
Micronesia, Fed. Sts.	..	..	..
Moldova	..	..	..
Monaco	..	..	..
Mongolia	2018	..	..
Montenegro	..	..	..
Morocco	..	..	..
Mozambique	2011	64	21
Myanmar	2016	9	3
Namibia	2013	28	8
Nepal	2016	20	6
Netherlands	..	..	..
New Caledonia	..	..	..
New Zealand	..	..	..
Nicaragua	..	..	..
Niger	2012	49	24
Nigeria	2018	32	3
North Macedonia	..	..	..
Northern Mariana Islands	..	..	..
Norway	..	..	..
Oman	..	..	..
Pakistan	2018	10	5
Palau	..	..	..
Panama	..	..	..
Papua New Guinea	2018	16	6
Paraguay	2016	..	..
Peru	2012	26	3
Philippines	2017	15	3
Poland	..	..	..
Portugal	..	..	..
Puerto Rico	..	..	..
Qatar	..	..	..
Romania	..	..	..
Russian Federation	..	..	..
Rwanda	2015	13	5
Samoa	..	..	..
San Marino	..	..	..
Sao Tome and Principe	2009	37	8
Saudi Arabia	..	..	..
Senegal	2017	32	6
Serbia	..	..	..
Seychelles	..	..	..
Sierra Leone	2017	51	16
Singapore	..	..	..
Sint Maarten (Dutch part)	..	..	..
Slovak Republic	..	..	..
Slovenia	..	..	..
Solomon Islands	..	..	..
Somalia	..	..	..
South Africa	2016	20	7
South Sudan	..	..	..
Spain	..	..	..
Sri Lanka	..	..	..
St. Kitts and Nevis	..	..	..
St. Lucia	..	..	..
St. Martin (French part)	..	..	..
St. Vincent and the Grenadines	..	..	..
Sudan	2014	..	..
Suriname	2018	..	..
Sweden	..	..	..
Switzerland	..	..	..
Syrian Arab Republic	..	..	..
Tajikistan	2017	5	6
Tanzania	2016	42	15
Thailand	..	..	..
Timor-Leste	2016	11	4
Togo	2014	36	8
Tonga	..	..	..
Trinidad and Tobago	..	..	..
Tunisia	..	..	..
Turkey	2013	7	1
Turkmenistan	2016	..	..
Turks and Caicos Islands	..	..	..
Tuvalu	..	..	..
Uganda	2016	34	15
Ukraine	..	..	..
United Arab Emirates	..	..	..
United Kingdom	..	..	..
United States	..	..	..
Uruguay	..	..	..
Uzbekistan	..	..	..
Vanuatu	..	..	..
Venezuela, RB	..	..	..
Vietnam	..	..	..
Virgin Islands (U.S.)	..	..	..
West Bank and Gaza	2014	..	..
Yemen, Rep.	2013	11	8
Zambia	2014	45	10
Zimbabwe	2015	34	6
