Country	Survey year	Poorest quintile	Richest quintile
Afghanistan	2015	62	35
Albania	2009	29	13
Algeria	2013	31	18
American Samoa	..	..	..
Andorra	..	..	..
Angola	2016	62	25
Antigua and Barbuda	..	..	..
Argentina	..	..	..
Armenia	2016	13	5
Aruba	..	..	..
Australia	..	..	..
Austria	..	..	..
Azerbaijan	..	..	..
Bahamas, The	..	..	..
Bahrain	..	..	..
Bangladesh	2014	52	29
Barbados	..	..	..
Belarus	..	..	..
Belgium	..	..	..
Belize	2016	14	4
Benin	2018	63	39
Bermuda	..	..	..
Bhutan	2010	68	..
Bolivia	2008	89	26
Bosnia and Herzegovina	..	..	..
Botswana	..	..	..
Brazil	..	..	..
Brunei Darussalam	..	..	..
Bulgaria	..	..	..
Burkina Faso	2010	89	54
Burundi	2017	67	36
Cambodia	2014	62	16
Cameroon	2014	93	46
Canada	..	..	..
Cabo Verde	..	..	..
Cayman Islands	..	..	..
Central African Republic	2010	127	85
Chad	2015	85	81
Channel Islands	..	..	..
Chile	..	..	..
China	..	..	..
Hong Kong SAR, China	..	..	..
Macao SAR, China	..	..	..
Colombia	2015	22	5
Comoros	2012	37	34
Congo, Dem. Rep.	2014	65	50
Congo, Rep.	2016	52	32
Costa Rica	..	..	..
Cote d'Ivoire	2016	83	39
Croatia	..	..	..
Cuba	..	..	..
Curacao	..	..	..
Cyprus	..	..	..
Czech Republic	..	..	..
Denmark	..	..	..
Djibouti	..	..	..
Dominica	..	..	..
Dominican Republic	2014	33	21
Ecuador	..	..	..
Egypt, Arab Rep.	2014	36	18
El Salvador	2014	25	15
Equatorial Guinea	..	..	..
Eritrea	..	..	..
Estonia	..	..	..
Eswatini	2014	71	40
Ethiopia	2016	62	54
Faroe Islands	..	..	..
Fiji	..	..	..
Finland	..	..	..
France	..	..	..
French Polynesia	..	..	..
Gabon	2012	43	40
Gambia, The	2018	49	27
Georgia	..	..	..
Germany	..	..	..
Ghana	2014	55	51
Greece	..	..	..
Greenland	..	..	..
Grenada	..	..	..
Guam	..	..	..
Guatemala	2015	41	17
Guinea	2018	77	34
Guinea-Bissau	2014	42	54
Guyana	2009	25	44
Haiti	2017	63	48
Honduras	2012	30	18
Hungary	..	..	..
Iceland	..	..	..
India	2016	58	21
Indonesia	2017	40	20
Iran, Islamic Rep.	..	..	..
Iraq	2018	27	15
Ireland	..	..	..
Isle of Man	..	..	..
Israel	..	..	..
Italy	..	..	..
Jamaica	..	..	..
Japan	..	..	..
Jordan	2018	18	15
Kazakhstan	2011	34	24
Kenya	2014	40	38
Kiribati	..	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..	..
Korea, Rep.	..	..	..
Kosovo	..	..	..
Kuwait	..	..	..
Kyrgyz Republic	2018	13	7
Lao PDR	2017	56	19
Latvia	..	..	..
Lebanon	..	..	..
Lesotho	2018	65	64
Liberia	2013	79	62
Libya	..	..	..
Liechtenstein	..	..	..
Lithuania	..	..	..
Luxembourg	..	..	..
Madagascar	2009	61	37
Malawi	2016	47	43
Malaysia	..	..	..
Maldives	2017	11	21
Mali	2018	77	37
Malta	..	..	..
Marshall Islands	..	..	..
Mauritania	2015	49	30
Mauritius	..	..	..
Mexico	..	..	..
Micronesia, Fed. Sts.	..	..	..
Moldova	..	..	..
Monaco	..	..	..
Mongolia	2018	20	13
Montenegro	..	..	..
Morocco	..	..	..
Mozambique	2011	83	64
Myanmar	2016	78	22
Namibia	2013	51	22
Nepal	2016	50	20
Netherlands	..	..	..
New Caledonia	..	..	..
New Zealand	..	..	..
Nicaragua	..	..	..
Niger	2012	64	52
Nigeria	2018	78	40
North Macedonia	..	..	..
Northern Mariana Islands	..	..	..
Norway	..	..	..
Oman	..	..	..
Pakistan	2018	76	53
Palau	..	..	..
Panama	..	..	..
Papua New Guinea	2018	47	27
Paraguay	2016	26	1
Peru	2012	27	14
Philippines	2017	31	9
Poland	..	..	..
Portugal	..	..	..
Puerto Rico	..	..	..
Qatar	..	..	..
Romania	..	..	..
Russian Federation	..	..	..
Rwanda	2015	50	25
Samoa	..	..	..
San Marino	..	..	..
Sao Tome and Principe	2009	53	26
Saudi Arabia	..	..	..
Senegal	2017	46	27
Serbia	..	..	..
Seychelles	..	..	..
Sierra Leone	2017	52	60
Singapore	..	..	..
Sint Maarten (Dutch part)	..	..	..
Slovak Republic	..	..	..
Slovenia	..	..	..
Solomon Islands	..	..	..
Somalia	..	..	..
South Africa	2016	54	40
South Sudan	..	..	..
Spain	..	..	..
Sri Lanka	..	..	..
St. Kitts and Nevis	..	..	..
St. Lucia	..	..	..
St. Martin (French part)	..	..	..
St. Vincent and the Grenadines	..	..	..
Sudan	2014	65	34
Suriname	2018	15	4
Sweden	..	..	..
Switzerland	..	..	..
Syrian Arab Republic	..	..	..
Tajikistan	2017	40	18
Tanzania	2016	45	59
Thailand	..	..	..
Timor-Leste	2016	36	20
Togo	2014	61	32
Tonga	..	..	..
Trinidad and Tobago	..	..	..
Tunisia	..	..	..
Turkey	2013	23	8
Turkmenistan	2016	33	14
Turks and Caicos Islands	..	..	..
Tuvalu	..	..	..
Uganda	2016	56	39
Ukraine	..	..	..
United Arab Emirates	..	..	..
United Kingdom	..	..	..
United States	..	..	..
Uruguay	..	..	..
Uzbekistan	..	..	..
Vanuatu	..	..	..
Venezuela, RB	..	..	..
Vietnam	..	..	..
Virgin Islands (U.S.)	..	..	..
West Bank and Gaza	2014	18	12
Yemen, Rep.	2013	53	33
Zambia	2014	55	39
Zimbabwe	2015	68	43
