Country	Survey year	Poorest quintile	Richest quintile
Afghanistan	2015	30	36
Albania	2018	10	5
Algeria	2013	10	8
American Samoa	..	..	..
Andorra	..	..	..
Angola	2016	19	22
Antigua and Barbuda	..	..	..
Argentina	2012	10	8
Armenia	2016	6	2
Aruba	..	..	..
Australia	..	..	..
Austria	..	..	..
Azerbaijan	..	..	..
Bahamas, The	..	..	..
Bahrain	..	..	..
Bangladesh	2014	8	6
Barbados	..	..	..
Belarus	..	..	..
Belgium	..	..	..
Belize	2016	8	3
Benin	2018	15	10
Bermuda	..	..	..
Bhutan	2010	26	19
Bolivia	2008	36	24
Bosnia and Herzegovina	2012	7	5
Botswana	..	..	..
Brazil	..	..	..
British Virgin Islands	..	..	..
Brunei Darussalam	..	..	..
Bulgaria	..	..	..
Burkina Faso	2010	19	21
Burundi	2017	31	21
Cabo Verde	..	..	..
Cambodia	2014	20	15
Cameroon	2014	31	11
Canada	..	..	..
Cayman Islands	..	..	..
Central African Republic	2010	27	21
Chad	2015	32	27
Channel Islands	..	..	..
Chile	..	..	..
China	..	..	..
Hong Kong SAR, China	..	..	..
Macao SAR, China	..	..	..
Colombia	2010	21	9
Comoros	2012	19	19
Congo, Dem. Rep.	2014	22	23
Congo, Rep.	2016	20	13
Costa Rica	2011	6	6
Cote d'Ivoire	2016	16	13
Croatia	..	..	..
Cuba	..	..	..
Curacao	..	..	..
Cyprus	..	..	..
Czech Republic	..	..	..
Denmark	..	..	..
Djibouti	..	..	..
Dominica	..	..	..
Dominican Republic	2014	22	14
Ecuador	..	..	..
Egypt, Arab Rep.	2014	23	14
El Salvador	2014	15	8
Equatorial Guinea	..	..	..
Eritrea	..	..	..
Estonia	..	..	..
Eswatini	2014	17	11
Ethiopia	2016	13	15
Faroe Islands	..	..	..
Fiji	..	..	..
Finland	..	..	..
France	..	..	..
French Polynesia	..	..	..
Gabon	2012	21	11
Gambia, The	2018	29	21
Georgia	..	..	..
Germany	..	..	..
Ghana	2014	19	8
Gibraltar	..	..	..
Greece	..	..	..
Greenland	..	..	..
Grenada	..	..	..
Guam	..	..	..
Guatemala	2015	23	21
Guinea	2018	16	18
Guinea-Bissau	2014	10	13
Guyana	2014	14	4
Haiti	2017	29	23
Honduras	2012	25	16
Hungary	..	..	..
Iceland	..	..	..
India	2016	13	10
Indonesia	2017	19	12
Iran, Islamic Rep.	..	..	..
Iraq	2018	15	10
Ireland	..	..	..
Isle of Man	..	..	..
Israel	..	..	..
Italy	..	..	..
Jamaica	2011	6	4
Japan	..	..	..
Jordan	2018	15	13
Kazakhstan	..	..	..
Kenya	2014	23	13
Kiribati	..	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..	..
Korea, Rep.	..	..	..
Kosovo	2014	11	0
Kuwait	..	..	..
Kyrgyz Republic	2018	10	4
Lao PDR	2017	8	5
Latvia	..	..	..
Lebanon	..	..	..
Lesotho	2018	8	8
Liberia	2013	31	20
Libya	..	..	..
Liechtenstein	..	..	..
Lithuania	..	..	..
Luxembourg	..	..	..
Madagascar	2009	11	13
Malawi	2016	29	26
Malaysia	..	..	..
Maldives	2017	5	3
Mali	2018	23	18
Malta	..	..	..
Marshall Islands	..	..	..
Mauritania	2015	23	11
Mauritius	..	..	..
Mexico	2015	10	6
Micronesia, Fed. Sts.	..	..	..
Moldova	2012	4	9
Monaco	..	..	..
Mongolia	2018	9	10
Montenegro	2013	4	3
Morocco	..	..	..
Mozambique	2015	13	16
Myanmar	2016	15	10
Namibia	2013	30	14
Nauru	..	..	..
Nepal	2016	8	8
Netherlands	..	..	..
New Caledonia	..	..	..
New Zealand	..	..	..
Nicaragua	..	..	..
Niger	2012	17	21
Nigeria	2018	23	8
North Macedonia	2011	9	4
Northern Mariana Islands	..	..	..
Norway	..	..	..
Oman	..	..	..
Pakistan	2018	20	23
Palau	..	..	..
Panama	..	..	..
Papua New Guinea	2018	16	21
Paraguay	2016	11	7
Peru	2012	16	12
Philippines	2017	9	4
Poland	..	..	..
Portugal	..	..	..
Puerto Rico	..	..	..
Qatar	..	..	..
Romania	..	..	..
Russian Federation	..	..	..
Rwanda	2015	18	10
Samoa	..	..	..
San Marino	..	..	..
Sao Tome and Principe	2014	20	10
Saudi Arabia	..	..	..
Senegal	2017	27	14
Serbia	2010	11	8
Seychelles	..	..	..
Sierra Leone	2017	8	6
Singapore	..	..	..
Sint Maarten (Dutch part)	..	..	..
Slovak Republic	..	..	..
Slovenia	..	..	..
Solomon Islands	..	..	..
Somalia	..	..	..
South Africa	2016	14	9
South Sudan	2010	36	32
Spain	..	..	..
Sri Lanka	..	..	..
St. Kitts and Nevis	..	..	..
St. Lucia	..	..	..
St. Martin (French part)	..	..	..
St. Vincent and the Grenadines	..	..	..
Sudan	2014	27	30
Suriname	2018	9	8
Sweden	..	..	..
Switzerland	..	..	..
Syrian Arab Republic	..	..	..
Tajikistan	2017	19	13
Tanzania	2016	12	18
Thailand	2016	6	4
Timor-Leste	2016	9	16
Togo	2014	24	11
Tonga	..	..	..
Trinidad and Tobago	..	..	..
Tunisia	2018	10	5
Turkey	2008	33	15
Turkmenistan	2016	2	2
Turks and Caicos Islands	..	..	..
Tuvalu	..	..	..
Uganda	2016	30	22
Ukraine	..	..	..
United Arab Emirates	..	..	..
United Kingdom	..	..	..
United States	..	..	..
Uruguay	..	..	..
Uzbekistan	..	..	..
Vanuatu	..	..	..
Venezuela, RB	..	..	..
Vietnam	2014	15	5
Virgin Islands (U.S.)	..	..	..
West Bank and Gaza	2014	13	10
Yemen, Rep.	2013	40	31
Zambia	2014	20	19
Zimbabwe	2015	25	19
