Country	number (2010)	number (2019)
Afghanistan	..	..
Albania	..	..
Algeria	..	..
American Samoa	..	..
Andorra	..	..
Angola	..	..
Antigua and Barbuda	..	..
Argentina	101	91
Armenia	..	..
Aruba	..	..
Australia	1913	1952
Austria	89	71
Azerbaijan	..	..
Bahamas, The	..	..
Bahrain	44	43
Bangladesh	192	611
Barbados	21	16
Belarus	..	..
Belgium	161	111
Belize	..	..
Benin	..	..
Bermuda	14	13
Bhutan	..	..
Bolivia	..	..
Bosnia and Herzegovina	..	..
Botswana	..	26
Brazil	373	324
Brunei Darussalam	..	..
Bulgaria	390	262
Burkina Faso	..	..
Burundi	..	..
Cambodia	..	..
Cameroon	..	..
Canada	3771	3358
Cabo Verde	..	..
Cayman Islands	2	..
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	227	203
China	2063	3777
Hong Kong SAR, China	1396	2272
Macao SAR, China	..	..
Colombia	84	66
Comoros	..	..
Congo, Dem. Rep.	..	..
Congo, Rep.	..	..
Costa Rica	9	10
Cote d'Ivoire	..	..
Croatia	240	119
Cuba	..	..
Curacao	..	..
Cyprus	110	96
Czech Republic	16	..
Denmark	..	..
Djibouti	..	..
Dominica	..	..
Dominican Republic	..	..
Ecuador	..	..
Egypt, Arab Rep.	227	246
El Salvador	..	..
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	..	..
Ethiopia	..	..
Faroe Islands	..	..
Fiji	..	..
Finland	..	..
France	617	457
French Polynesia	..	..
Gabon	..	..
Gambia, The	..	..
Georgia	..	..
Germany	690	470
Ghana	31	..
Greece	277	176
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	..	..
Guinea	..	..
Guinea-Bissau	..	..
Guyana	..	..
Haiti	..	..
Honduras	..	..
Hungary	48	44
Iceland	..	..
India	5034	5065
Indonesia	420	668
Iran, Islamic Rep.	369	331
Iraq	..	..
Ireland	50	43
Isle of Man	..	..
Israel	596	414
Italy	290	..
Jamaica	48	87
Japan	2281	3704
Jordan	277	195
Kazakhstan	61	94
Kenya	55	59
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	1781	2262
Kosovo	..	..
Kuwait	215	..
Kyrgyz Republic	..	..
Lao PDR	..	..
Latvia	..	..
Lebanon	10	10
Lesotho	..	..
Liberia	..	..
Libya	..	..
Liechtenstein	..	..
Lithuania	..	..
Luxembourg	29	28
North Macedonia	..	..
Madagascar	..	..
Malawi	..	..
Malaysia	948	919
Maldives	..	..
Mali	..	..
Malta	21	27
Marshall Islands	..	..
Mauritania	..	..
Mauritius	62	95
Mexico	130	139
Micronesia, Fed. Sts.	..	..
Moldova	..	..
Monaco	..	..
Mongolia	..	..
Montenegro	361	..
Morocco	73	74
Mozambique	..	..
Myanmar	..	..
Namibia	7	11
Nepal	..	..
Netherlands	150	103
New Caledonia	..	..
New Zealand	137	123
Nicaragua	..	..
Niger	..	..
Nigeria	215	180
Northern Mariana Islands	..	..
Norway	195	0
Oman	114	111
Pakistan	644	..
Palau	..	..
Panama	34	27
Papua New Guinea	10	..
Paraguay	..	..
Peru	199	196
Philippines	251	265
Poland	570	798
Portugal	52	40
Puerto Rico	..	..
Qatar	43	47
Romania	73	81
Russian Federation	556	213
Rwanda	..	4
Samoa	..	..
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	146	204
Senegal	..	..
Serbia	..	..
Seychelles	..	33
Sierra Leone	..	..
Singapore	461	470
Sint Maarten (Dutch part)	..	..
Slovak Republic	90	..
Slovenia	72	29
Solomon Islands	..	..
Somalia	..	..
South Africa	352	274
South Sudan	..	..
Spain	3310	2979
Sri Lanka	241	289
St. Kitts and Nevis	..	..
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	..	..
Suriname	..	..
Eswatini	..	..
Sweden	..	..
Switzerland	246	237
Syrian Arab Republic	..	..
Tajikistan	..	..
Tanzania	..	..
Thailand	541	725
Timor-Leste	..	..
Togo	..	..
Tonga	..	..
Trinidad and Tobago	..	..
Tunisia	56	81
Turkey	263	378
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	..
Ukraine	..	78
United Arab Emirates	104	130
United Kingdom	2105	2026
United States	4279	4397
Uruguay	..	..
Uzbekistan	..	..
Vanuatu	..	..
Venezuela, RB	55	..
Vietnam	634	745
Virgin Islands (U.S.)	..	..
West Bank and Gaza	39	48
Yemen, Rep.	..	..
Zambia	20	..
Zimbabwe	..	..
World	43561	43342
East Asia & Pacific	14151	19489
Europe & Central Asia	11111	6870
Latin America & Caribbean	1283	1159
Middle East & North Africa	2119	1766
North America	8064	7740
South Asia	6111	5955
Sub-Saharan Africa	..	..
Low income	..	..
Lower middle income	7702	7665
Upper middle income	7617	8575
High income	28242	27390
