Country	Total
Afghanistan	34.8
Albania	11.8
Algeria	2.5
American Samoa	..
Andorra	..
Angola	30.3
Antigua and Barbuda	..
Argentina	..
Armenia	5.3
Aruba	..
Australia	..
Austria	..
Azerbaijan	11
Bahamas, The	..
Bahrain	..
Bangladesh	58.6
Barbados	10.7
Belarus	3.2
Belgium	..
Belize	25.9
Benin	30.6
Bermuda	..
Bhutan	..
Bolivia	19.4
Bosnia and Herzegovina	3.5
Botswana	..
Brazil	..
British Virgin Islands	..
Brunei Darussalam	..
Bulgaria	..
Burkina Faso	..
Burundi	19
Cabo Verde	..
Cambodia	18.5
Cameroon	31
Canada	..
Cayman Islands	..
Central African Republic	..
Chad	66.9
Channel Islands	..
Chile	..
China	..
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	23.4
Comoros	31.6
Congo, Dem. Rep.	37.3
Congo, Rep.	27.3
Costa Rica	21.2
Cote d'Ivoire	27
Croatia	..
Cuba	26
Curacao	..
Cyprus	..
Czech Republic	..
Denmark	..
Djibouti	..
Dominica	..
Dominican Republic	35.9
Ecuador	..
Egypt, Arab Rep.	17.4
El Salvador	25.5
Equatorial Guinea	29.5
Eritrea	..
Estonia	..
Eswatini	5.3
Ethiopia	40.3
Faroe Islands	..
Fiji	..
Finland	..
France	..
French Polynesia	..
Gabon	21.9
Gambia, The	30.4
Georgia	..
Germany	..
Ghana	20.7
Gibraltar	..
Greece	..
Greenland	..
Grenada	..
Guam	..
Guatemala	29.5
Guinea	51.2
Guinea-Bissau	24.4
Guyana	30.2
Haiti	14.9
Honduras	33.6
Hungary	..
Iceland	..
India	25.3
Indonesia	13.6
Iran, Islamic Rep.	17
Iraq	24.3
Ireland	..
Isle of Man	..
Israel	..
Italy	..
Jamaica	7.9
Japan	..
Jordan	9.7
Kazakhstan	7
Kenya	22.9
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	..
Kosovo	..
Kuwait	..
Kyrgyz Republic	11.6
Lao PDR	35.4
Latvia	..
Lebanon	..
Lesotho	17.3
Liberia	35.9
Libya	..
Liechtenstein	..
Lithuania	..
Luxembourg	..
North Macedonia	6.9
Madagascar	41.2
Malawi	42.1
Malaysia	..
Maldives	2.2
Mali	51.5
Malta	..
Marshall Islands	..
Mauritania	37
Mauritius	..
Mexico	26.1
Micronesia, Fed. Sts.	..
Moldova	12.2
Monaco	..
Mongolia	5.2
Montenegro	4.5
Morocco	..
Mozambique	52.9
Myanmar	16
Namibia	6.9
Nauru	..
Nepal	39.5
Netherlands	..
New Caledonia	..
New Zealand	..
Nicaragua	35.2
Niger	76.3
Nigeria	43.5
Northern Mariana Islands	..
Norway	..
Oman	..
Pakistan	18.3
Palau	..
Panama	26.4
Papua New Guinea	..
Paraguay	21.6
Peru	21.5
Philippines	16.5
Poland	..
Portugal	..
Puerto Rico	..
Qatar	4.2
Romania	..
Russian Federation	..
Rwanda	6.8
Samoa	10.8
San Marino	..
Sao Tome and Principe	35.4
Saudi Arabia	..
Senegal	28.8
Serbia	3.2
Seychelles	..
Sierra Leone	38.9
Singapore	..
Sint Maarten (Dutch part)	..
Slovak Republic	..
Slovenia	..
Solomon Islands	21.3
Somalia	..
South Africa	3.6
South Sudan	..
Spain	..
Sri Lanka	..
St. Kitts and Nevis	..
St. Lucia	7.5
St. Martin (French part)	..
St. Vincent and the Grenadines	..
Sudan	34.2
Suriname	..
Sweden	..
Switzerland	..
Syrian Arab Republic	..
Tajikistan	8.7
Tanzania	30.5
Thailand	22.5
Timor-Leste	14.9
Togo	21.8
Tonga	5.6
Trinidad and Tobago	11.2
Tunisia	1.6
Turkey	14
Turkmenistan	5.7
Turks and Caicos Islands	..
Tuvalu	..
Uganda	34
Ukraine	9.1
United Arab Emirates	..
United Kingdom	..
United States	..
Uruguay	24.6
Uzbekistan	..
Vanuatu	21.4
Venezuela, RB	..
Vietnam	10.6
Virgin Islands (U.S.)	..
West Bank and Gaza	15.3
Yemen, Rep.	31.9
Zambia	31.4
Zimbabwe	32.4
World	..
East Asia & Pacific	..
Europe & Central Asia	..
Latin America & Caribbean	..
Middle East & North Africa	..
North America	..
South Asia	..
Sub-Saharan Africa	..
Low income	..
Lower middle income	..
Upper middle income	..
High income	..
