Country	Tons	Change %
Afghanistan	-6529	118.1
Albania	900	-75
Algeria	-8205	202.7
American Samoa	0	433.3
Andorra	..	..
Angola	-3705	7308.3
Antigua and Barbuda	111	748755
Argentina	48642	100.5
Armenia	3155	511.5
Aruba	..	-33.3
Australia	164077	483.5
Austria	5305	88.2
Azerbaijan	4672	354.9
Bahamas, The	772	-89.3
Bahrain	9603	-87.4
Bangladesh	-9406	-87
Barbados	47	-128.6
Belarus	12276	-98.7
Belgium	21938	472.5
Belize	195	310
Benin	16260	-54
Bermuda	39	-100
Bhutan	-393	..
Bolivia	571837	285.4
Bosnia and Herzegovina	-1496	-7.3
Botswana	70405	17481.4
Brazil	1845285	99.3
Brunei Darussalam	2808	-96
Bulgaria	-1507	227
Burkina Faso	19323	10172
Burundi	1738	636
Cabo Verde	..	-100
Cambodia	70139	..
Cameroon	60974	-3.6
Canada	196078	809.1
Cayman Islands	..	-100
Central African Republic	328301	522.7
Chad	75263	381645.5
Channel Islands	..	..
Chile	15093	92.6
China	141901	306.1
Hong Kong SAR, China	7583	-60.4
Macao SAR, China	..	-310.7
Colombia	10723	-93.1
Comoros	120	..
Congo, Dem. Rep.	655562	-44.8
Congo, Rep.	21304	-57.8
Costa Rica	849	838.3
Cote d'Ivoire	-698	-100
Croatia	3467	-90
Cuba	8037	-68.6
Curacao	..	..
Cyprus	-784	875606.2
Czech Republic	3097	645.7
Denmark	-1101	-43.9
Djibouti	534	-71.7
Dominica	3	-100
Dominican Republic	1466	-69.7
Ecuador	-6627	-84.8
Egypt, Arab Rep.	-9129	91.8
El Salvador	1064	75.3
Equatorial Guinea	1043	-100
Eritrea	199	..
Estonia	-99	-99.5
Ethiopia	73227	20910.5
Faroe Islands	..	-100
Fiji	-97	-35
Finland	-2170	104.1
France	34637	78.4
French Polynesia	..	-100
Gabon	24930	466.1
Gambia, The	1754	2046.5
Georgia	222	8.3
Germany	65265	-44.2
Ghana	55869	350.5
Greece	4065	-41.1
Greenland	..	..
Grenada	193	50.3
Guam	0	-100
Guatemala	8210	35.9
Guinea	49574	1
Guinea-Bissau	4898	24223.5
Guyana	-832	-99.9
Haiti	482	1951.7
Honduras	2890	-67.1
Hungary	2974	20.2
Iceland	1177	-98.6
India	39956	243.3
Indonesia	21192	-99.6
Iran, Islamic Rep.	..	83.7
Iraq	-16171	-85.8
Ireland	4449	-87.7
Isle of Man	..	..
Israel	2818	135.1
Italy	34345	232.6
Jamaica	5398	107.9
Japan	114664	88.8
Jordan	2580	..
Kazakhstan	29301	93.9
Kenya	1586	-29.6
Kiribati	..	-100
Korea, Dem. Peopleâ€™s Rep.	30431	66.2
Korea, Rep.	15096	45.5
Kosovo	..	..
Kuwait	-6822	451.4
Kyrgyz Republic	638	-86.4
Lao PDR	134458	691.9
Latvia	1532	-73.8
Lebanon	..	19.1
Lesotho	1462	3290
Liberia	184	97.2
Libya	8494	15.5
Liechtenstein	..	..
Lithuania	6036	-78
Luxembourg	332	1.9
North Macedonia	1251	197.5
Madagascar	86855	308
Malawi	12279	972.4
Malaysia	14128	-96.3
Maldives	..	-100
Mali	47011	214.8
Malta	..	..
Marshall Islands	..	..
Mauritania	2544	1042.5
Mauritius	..	32424.3
Mexico	24705	-38.6
Micronesia, Fed. Sts.	..	..
Moldova	-1136	51.9
Monaco	..	..
Mongolia	2178	-92.7
Montenegro	..	..
Morocco	6847	-10.8
Mozambique	363886	1995.6
Myanmar	412033	-45.3
Namibia	26597	65222.5
Nepal	5994	4333.7
Netherlands	4321	-67.4
New Caledonia	..	..
New Zealand	4144	-68.5
Nicaragua	1410	185.2
Niger	402	..
Nigeria	92587	713
Northern Mariana Islands	..	..
Norway	1197	-81.3
Oman	-30097	-97.3
Pakistan	28977	6.1
Palau	..	..
Panama	1171	-69.2
Papua New Guinea	806	-90.3
Paraguay	19796	-45.3
Peru	-883	-70.7
Philippines	10485	-15.4
Poland	17352	-89.8
Portugal	6775	3370.5
Puerto Rico	-4	-98.2
Qatar	-21342	19497.2
Romania	-1511	-67.9
Russian Federation	386865	1.5
Rwanda	769	198.6
Samoa	55	-100
San Marino	..	..
Sao Tome and Principe	87	-100
Saudi Arabia	8839	18.5
Senegal	30364	125305.3
Serbia	..	..
Seychelles	382	0
Sierra Leone	5671	24.5
Singapore	6773	413.4
Sint Maarten (Dutch part)	..	..
Slovak Republic	1597	347.1
Slovenia	1083	-36.3
Solomon Islands	229	-100
Somalia	-392	-20.4
South Africa	..	894.6
South Sudan	..	..
Spain	17453	105.5
Sri Lanka	988	-89.6
St. Kitts and Nevis	..	..
