Country	imports (2010)	imports (2019)
Afghanistan	13.7	32.3
Albania	17.9	13.5
Algeria	16.3	20.2
American Samoa	..	..
Andorra	22	22.2
Angola	15.2	20.4
Antigua and Barbuda	21.3	27.5
Argentina	2.6	6.5
Armenia	18	16.8
Aruba	31.8	27.7
Australia	5.5	6.6
Austria	7.3	7.5
Azerbaijan	18.5	16.3
Bahamas, The	17.5	..
Bahrain	7.6	9.4
Bangladesh	17.4	..
Barbados	24.9	22.6
Belarus	7.9	10.2
Belgium	8.3	9
Belize	16.5	20.2
Benin	38.6	47.8
Bermuda	13.1	20.8
Bhutan	11.5	..
Bolivia	7.7	7.6
Bosnia and Herzegovina	18.1	16.2
Botswana	12.4	12.7
Brazil	4.6	5.8
Brunei Darussalam	17	12.1
Bulgaria	9.6	9.7
Burkina Faso	15.1	12.4
Burundi	13.8	16.7
Cabo Verde	27.7	30.2
Cambodia	7.3	7.6
Cameroon	17.7	22.8
Canada	7.3	8.3
Cayman Islands	..	..
Central African Republic	28.1	21.1
Chad	..	..
Channel Islands	..	..
Chile	7.1	10.1
China	4.6	6.3
Hong Kong SAR, China	4.2	4.9
Macao SAR, China	17.1	16.3
Colombia	9.7	12.5
Comoros	38	42.9
Congo, Dem. Rep.	..	..
Congo, Rep.	7	24.9
Costa Rica	9	12.9
Cote d'Ivoire	19.2	21.4
Croatia	10.4	12.4
Cuba	..	..
Curacao	..	..
Cyprus	14.8	15.2
Czech Republic	5.4	5.7
Denmark	13.4	14
Djibouti	29.3	..
Dominica	22.5	..
Dominican Republic	13.6	15.1
Ecuador	8.3	10.1
Egypt, Arab Rep.	19.1	19
El Salvador	16.1	17.8
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	11.4	10.2
Eswatini	18.7	18.2
Ethiopia	10.9	15
Faroe Islands	17.1	..
Fiji	18.4	16.3
Finland	7.1	7.5
France	8.5	9.4
French Polynesia	23.5	..
Gabon	17.1	..
Gambia, The	36.1	25.8
Georgia	13	13.3
Germany	7.6	7.8
Ghana	15.3	20.1
Greece	12.3	12.5
Greenland	19	19.8
Grenada	24.1	..
Guam	..	..
Guatemala	13.3	15.6
Guinea	13.2	..
Guinea-Bissau	..	..
Guyana	14.8	6.9
Haiti	..	..
Honduras	16.4	18
Hungary	4.9	5.6
Iceland	11	11.3
India	4	4.2
Indonesia	8.5	10.3
Iran, Islamic Rep.	15.4	20.2
Iraq	1.8	..
Ireland	11.4	9.9
Isle of Man	..	..
Israel	7.3	8.7
Italy	9.2	10.3
Jamaica	17.7	18
Japan	9.2	9.8
Jordan	16.2	19.1
Kazakhstan	9.5	10
Kenya	12	14
Kiribati	40.7	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	4.5	6.2
Kosovo	..	..
Kuwait	15.4	15
Kyrgyz Republic	16.9	11.1
Lao PDR	11.8	12.5
Latvia	14.7	16.2
Lebanon	16.3	17.8
Lesotho	20.6	18.3
Liberia	..	..
Libya	12.1	..
Liechtenstein	..	..
Lithuania	12.4	11.7
Luxembourg	11.2	12.4
Madagascar	13.6	14.6
Malawi	13.6	11.9
Malaysia	7.9	7.6
Maldives	22.4	17.2
Mali	11.6	16.9
Malta	10.8	10.1
Marshall Islands	..	..
Mauritania	19.4	13.8
Mauritius	21.1	20.8
Mexico	6.5	4.7
Micronesia, Fed. Sts.	..	..
Moldova	14.9	12.7
Monaco	..	..
Mongolia	..	11.4
Montenegro	24.2	21
Morocco	11.4	10.9
Mozambique	11.6	14.3
Myanmar	7.2	13.1
Namibia	14.9	11.3
Nepal	14.2	18.1
Netherlands	10	12.7
New Caledonia	11	..
New Zealand	10.6	11.5
Nicaragua	16.3	14.4
Niger	15.1	..
Nigeria	10.2	10.9
North Macedonia	12.4	9.6
Northern Mariana Islands	..	..
Norway	7.9	9.2
Oman	12.1	15
Pakistan	13.1	10.7
Palau	24.7	22.8
Panama	8	..
Papua New Guinea	11.6	..
Paraguay	7.5	8.5
Peru	10.3	11.4
Philippines	11.1	11.2
Poland	7.6	8.9
Portugal	13.6	13.6
Puerto Rico	..	..
Qatar	8.2	11
Romania	7.7	9.3
Russian Federation	14.1	11.9
Rwanda	15.5	..
Samoa	24.5	28.4
San Marino	..	..
Sao Tome and Principe	29.8	29.2
Saudi Arabia	16.1	14.8
Senegal	22.4	19.6
Serbia	..	..
Seychelles	17	19
Sierra Leone	..	32.6
Singapore	3.1	3.8
Sint Maarten (Dutch part)	..	..
Slovak Republic	6.4	5.7
Slovenia	8	7.7
Solomon Islands	22.8	22
Somalia	..	..
South Africa	6.6	7.1
South Sudan	..	..
Spain	10.4	10.8
Sri Lanka	15.4	13.4
St. Kitts and Nevis	19.7	25.4
St. Lucia	24.1	24.6
St. Martin (French part)	..	..
