Country	Male	Female
Afghanistan	20.2	7.7
Albania	42.6	45.3
Algeria	67.2	74.6
American Samoa	..	..
Andorra	..	..
Angola	41.5	17.6
Antigua and Barbuda	..	..
Argentina	72.3	77.4
Armenia	58.7	61.2
Aruba	..	..
Australia	79.7	88
Austria	85.7	90.6
Azerbaijan	36.4	26.9
Bahamas, The	80.6	91.7
Bahrain	97.3	96.9
Bangladesh	43.4	31.7
Barbados	78.6	88.2
Belarus	94.4	97.2
Belgium	83.1	89.3
Belize	66.5	67.7
Benin	16.4	5
Bermuda	..	..
Bhutan	36.4	15.8
Bolivia	34.4	27.8
Bosnia and Herzegovina	78.5	78.9
Botswana	73.7	68.6
Brazil	63	73
British Virgin Islands	..	..
Brunei Darussalam	90.8	91.5
Bulgaria	85.7	91.4
Burkina Faso	15.2	9.6
Burundi	7.8	3.1
Cabo Verde	68.4	51.3
Cambodia	56.7	41.6
Cameroon	31.2	14.2
Canada	81.8	87.9
Cayman Islands	..	..
Central African Republic	10.4	3.8
Chad	11.5	1.1
Channel Islands	81.9	89.7
Chile	71.8	74.4
China	55.3	50
Hong Kong SAR, China	88.2	94.8
Macao SAR, China	91.3	96.5
Colombia	46.9	51
Comoros	41	17.8
Congo, Dem. Rep.	27.3	8.7
Congo, Rep.	36.3	8.8
Costa Rica	73.6	77
Cote d'Ivoire	33.9	17.1
Croatia	86.1	90
Cuba	64.4	87.2
Curacao	..	..
Cyprus	84.1	89.9
Czech Republic	79.4	87.6
Denmark	89.3	94.8
Djibouti	58	44.4
Dominica	..	..
Dominican Republic	47.7	69.5
Ecuador	56.2	41.1
Egypt, Arab Rep.	69.6	63.9
El Salvador	66.3	54
Equatorial Guinea	17.3	8.4
Eritrea	18.3	6.9
Estonia	85.7	93.2
Eswatini	70.7	58.7
Ethiopia	15.5	10.5
Faroe Islands	..	..
Fiji	57.5	51
Finland	83.1	90.8
France	85.3	91.6
French Polynesia	80.7	86.8
Gabon	69.9	59.5
Gambia, The	34.1	15.6
Georgia	48.4	49
Germany	87.8	92.7
Ghana	32.5	17.1
Gibraltar	..	..
Greece	63	71.6
Greenland	..	..
Grenada	..	..
Guam	84.9	91.4
Guatemala	64.2	50.3
Guinea	14.8	3.2
Guinea-Bissau	30.1	14.6
Guyana	67.4	67.2
Haiti	34.5	17.8
Honduras	52.8	41.5
Hungary	87.7	91.9
Iceland	84.6	91.5
India	23.5	23.2
Indonesia	52.8	40.9
Iran, Islamic Rep.	54.4	56.5
Iraq	76.1	90.7
Ireland	79	92.1
Isle of Man	..	..
Israel	84.8	90.7
Italy	72.7	83.1
Jamaica	55.7	67
Japan	88.5	91.3
Jordan	82.7	96.6
Kazakhstan	74.7	76.4
Kenya	56.2	39.9
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	14.6	5.7
Korea, Rep.	73	77.4
Kosovo	..	..
Kuwait	97.8	99.4
Kyrgyz Republic	60.5	70.9
Lao PDR	25.4	12.3
Latvia	86.6	90.3
Lebanon	57.4	84.1
Lesotho	85.4	80.3
Liberia	32.6	9
Libya	92.3	95
Liechtenstein	..	..
Lithuania	85.8	90.8
Luxembourg	90.4	92.6
North Macedonia	73.6	80.6
Madagascar	13.4	8.4
Malawi	44.8	33.8
Malaysia	75	73.9
Maldives	79.6	64.3
Mali	23.1	11.9
Malta	81.6	91.9
Marshall Islands	..	..
Mauritania	50.6	31
Mauritius	75.9	85.2
Mexico	68.5	68.1
Micronesia, Fed. Sts.	..	..
Moldova	58.6	65.6
Monaco	..	..
Mongolia	47.1	53.9
Montenegro	72.1	86
Morocco	52.8	38.2
Mozambique	23.6	5.8
Myanmar	37.3	37.5
Namibia	67.8	57.1
Nauru	..	..
Nepal	32.6	10.6
Netherlands	80.3	86.9
New Caledonia	80.2	86.5
New Zealand	78.6	85.4
Nicaragua	56.9	49.9
Niger	8	2.3
Nigeria	22.8	13.1
