Country	Revenue % (2010)	Revenue % (2018)	ID
Afghanistan	5	7	Q889
Albania	3	1	Q222
Angola	4	4	Q916
Argentina	16	7	Q414
Armenia	4	6	Q399
Australia	2	3	Q408
Azerbaijan	1	3	Q227
Bahamas, The	49	21	Q778
Bangladesh	24	25	Q902
Barbados	8	9	Q244
Belarus	11	13	Q184
Belize	21	14	Q242
Bhutan	1	4	Q917
Bosnia and Herzegovina	0	0	Q225
Botswana	19	29	Q963
Brazil	2	2	Q155
Bulgaria	0	0	Q219
Burkina Faso	11	12	Q965
Cabo Verde	12	13	Q1011
Cambodia	15	11	Q424
Cameroon	12	12	Q1009
Canada	1	2	Q16
Central African Republic	13	22	Q929
Chile	1	1	Q298
China	4	2	Q148
Colombia	5	2	Q739
Congo, Rep.	2	5	Q971
Costa Rica	4	5	Q800
Cote d'Ivoire	42	25	Q1008
Croatia	1	0	Q224
Cyprus	0	0	Q229
Dominican Republic	8	6	Q786
Egypt, Arab Rep.	5	4	Q79
El Salvador	5	3	Q792
Equatorial Guinea	1	1	Q983
Ethiopia	29	22	Q115
Fiji	20	19	Q712
France	0	0	Q142
Gabon	16	16	Q1000
Georgia	1	1	Q230
Ghana	17	13	Q117
Greece	0	0	Q41
Guatemala	7	5	Q774
Honduras	4	3	Q783
Iceland	1	0	Q189
India	13	11	Q668
Indonesia	3	2	Q252
Israel	1	1	Q801
Jamaica	9	11	Q766
Japan	2	1	Q17
Jordan	6	4	Q810
Kazakhstan	17	19	Q232
Kiribati	17	2	Q710
Korea, Rep.	4	2	Q884
Kuwait	1	2	Q817
Latvia	0	0	Q211
Lebanon	7	5	Q822
Lesotho	9	11	Q1013
Madagascar	11	12	Q1019
Malawi	6	8	Q1020
Malaysia	2	2	Q833
Mali	10	11	Q912
Marshall Islands	8	6	Q709
Mauritius	2	1	Q1027
Mexico	1	2	Q96
Micronesia, Fed. Sts.	5	3	Q702
Moldova	4	3	Q217
Mongolia	6	7	Q711
Morocco	6	3	Q1028
Mozambique	5	7	Q1029
Myanmar	4	3	Q836
Namibia	26	29	Q1030
Nepal	16	16	Q837
New Zealand	3	3	Q664
Nicaragua	4	3	Q811
North Macedonia	4	3	Q221
Norway	0	0	Q20
Palau	9	12	Q695
Paraguay	8	7	Q733
Peru	2	1	Q419
Philippines	21	21	Q928
Romania	0	0	Q218
Russian Federation	26	11	Q159
Samoa	7	8	Q683
San Marino	1	0	Q238
Saudi Arabia	2	2	Q851
Seychelles	18	4	Q1042
Slovak Republic	0	0	Q214
Solomon Islands	30	32	Q685
South Africa	3	4	Q258
Sri Lanka	16	18	Q854
St. Kitts and Nevis	28	17	Q763
St. Lucia	45	29	Q760
St. Vincent and the Grenadines	16	18	Q757
Sudan	14	16	Q1049
Switzerland	1	1	Q39
Tanzania	5	7	Q924
Thailand	5	3	Q869
Timor-Leste	0	2	Q574
Togo	18	16	Q945
Tonga	6	6	Q678
Trinidad and Tobago	4	6	Q754
Turkey	1	1	Q43
Ukraine	2	2	Q212
United Arab Emirates	0	0	Q878
United States	1	2	Q30
Uruguay	4	3	Q77
Uzbekistan	7	4	Q265
Vanuatu	16	10	Q686
West Bank and Gaza	14	26	Q407199
Zambia	8	6	Q953
Zimbabwe	31	8	Q954
