Country	% Areas	ID
Albania	2.7	Q222
Algeria	0.1	Q262
American Samoa	8.7	Q16641
Angola	0	Q916
Antigua and Barbuda	0.2	Q781
Argentina	3.8	Q414
Aruba	0	Q21203
Australia	40.6	Q408
Azerbaijan	0.4	Q227
Bahamas, The	7.9	Q778
Bahrain	1.2	Q398
Bangladesh	5.4	Q902
Barbados	0	Q244
Belgium	36.7	Q31
Belize	10.1	Q242
Benin	0	Q962
Bermuda	0	Q23635
Bosnia and Herzegovina	0	Q225
Brazil	26.6	Q155
Brunei Darussalam	0.2	Q921
Bulgaria	8.1	Q219
Cabo Verde	0	Q1011
Cambodia	0.2	Q424
Cameroon	3.4	Q1009
Canada	0.9	Q16
Cayman Islands	0.1	Q5785
Chile	28.8	Q298
China	5.4	Q148
Colombia	17.1	Q739
Comoros	0	Q970
Congo, Dem. Rep.	0.2	Q974
Congo, Rep.	3.2	Q971
Costa Rica	0.8	Q800
Cote d'Ivoire	0.1	Q1008
Croatia	8.5	Q224
Cuba	4.3	Q241
Curacao	0	Q25279
Cyprus	0.1	Q229
Denmark	17.8	Q35
Djibouti	0.2	Q977
Dominica	0.1	Q784
Dominican Republic	18	Q786
Ecuador	13.3	Q736
Egypt, Arab Rep.	5	Q79
El Salvador	0.7	Q792
Equatorial Guinea	0.2	Q983
Eritrea	0	Q986
Estonia	18.6	Q191
Faroe Islands	0	Q4628
Fiji	0.9	Q712
Finland	10.5	Q33
France	45	Q142
French Polynesia	0	Q30971
Gabon	28.8	Q1000
Gambia, The	0.1	Q1005
Georgia	0.7	Q230
Germany	45.4	Q183
Ghana	0.1	Q117
Greece	4.5	Q41
Greenland	4.5	Q223
Grenada	0.1	Q769
Guam	0	Q16635
Guatemala	0.9	Q774
Guinea	0.5	Q1006
Guinea-Bissau	10	Q1007
Guyana	0	Q734
Haiti	0	Q790
Honduras	4.2	Q783
Iceland	0.4	Q189
India	0.2	Q668
Indonesia	3.1	Q252
Iran, Islamic Rep.	0.8	Q794
Iraq	0	Q796
Ireland	2.3	Q27
Isle of Man	0	Q9676
Israel	0	Q801
Italy	8.8	Q38
Jamaica	0.8	Q766
Japan	8.2	Q17
Jordan	35.6	Q810
Kazakhstan	1	Q232
Kenya	0.8	Q114
Kiribati	11.8	Q710
Korea, Dem. Peopleâ€™s Rep.	0	Q423
Korea, Rep.	1.6	Q884
Kuwait	1.5	Q817
Latvia	16	Q211
Lebanon	0.2	Q822
Liberia	0.1	Q1014
Libya	0.6	Q1016
Lithuania	25.6	Q37
Madagascar	0.7	Q1019
Malaysia	1.5	Q833
Maldives	0.1	Q826
Malta	6.3	Q233
Marshall Islands	0.3	Q709
Mauritania	4.2	Q1025
Mauritius	0	Q1027
Mexico	21.8	Q96
Micronesia, Fed. Sts.	0	Q702
Monaco	99.8	Q235
Montenegro	0	Q236
Morocco	0.3	Q1028
Mozambique	2.2	Q1029
Myanmar	2.3	Q836
Namibia	1.7	Q1030
Netherlands	26.7	Q55
New Caledonia	96.6	Q33788
New Zealand	30.4	Q664
Nicaragua	3	Q811
Nigeria	0	Q1033
Northern Mariana Islands	33.3	Q16644
Norway	0.8	Q20
Oman	0.1	Q842
Pakistan	0.8	Q843
Palau	83	Q695
Panama	1.7	Q804
Papua New Guinea	0.2	Q691
Peru	0.5	Q419
Philippines	1.2	Q928
Poland	22.6	Q36
Portugal	16.6	Q45
Puerto Rico	1.7	Q1183
Qatar	1.7	Q846
Romania	23.1	Q218
Russian Federation	3	Q159
Samoa	0.1	Q683
Sao Tome and Principe	0	Q1039
Saudi Arabia	2.5	Q851
Senegal	1.1	Q1041
Seychelles	0	Q1042
Sierra Leone	0.5	Q1044
Singapore	0	Q334
Sint Maarten (Dutch part)	8.7	Q26273
Slovenia	100	Q215
Solomon Islands	0.1	Q685
South Africa	12.1	Q258
Spain	8.4	Q29
Sri Lanka	0.1	Q854
St. Kitts and Nevis	0.2	Q763
St. Lucia	0.2	Q760
St. Martin (French part)	96.4	Q126125
St. Vincent and the Grenadines	0.2	Q757
Sudan	16	Q1049
Suriname	1.5	Q730
Sweden	15.2	Q34
Syrian Arab Republic	0.2	Q858
Tanzania	3	Q924
Thailand	1.9	Q869
Timor-Leste	1.4	Q574
Togo	0.2	Q945
Tonga	1.5	Q678
Trinidad and Tobago	0	Q754
Tunisia	1	Q948
Turkey	0.1	Q43
Turkmenistan	3	Q874
Turks and Caicos Islands	0.1	Q18221
Tuvalu	0	Q672
Ukraine	3.4	Q212
United Arab Emirates	11.3	Q878
United Kingdom	28.9	Q145
United States	41.1	Q30
Uruguay	0.7	Q77
Vanuatu	0	Q686
Venezuela, RB	3.5	Q717
Vietnam	0.6	Q881
Virgin Islands (U.S.)	0.9	Q11703
Yemen, Rep.	0.5	Q805
