Country	To export	To import	ID
Albania	10	14	Q222
Algeria	4	5	Q262
Angola	14	14	Q916
Argentina	4	5	Q414
Australia	1	1	Q408
Austria	2	3	Q40
Azerbaijan	3	2	Q227
Bahamas, The	1	2	Q778
Bahrain	1	1	Q398
Bangladesh	4	5	Q902
Belarus	2	2	Q184
Belgium	2	3	Q31
Benin	14	10	Q962
Bolivia	3	6	Q750
Bosnia and Herzegovina	1	3	Q225
Brazil	5	5	Q155
Brunei Darussalam	1	1	Q921
Bulgaria	2	2	Q219
Burkina Faso	5	2	Q965
Burundi	18	15	Q967
Cambodia	3	4	Q424
Cameroon	5	6	Q1009
Canada	4	5	Q16
Chad	22	24	Q657
Chile	3	3	Q298
China	2	6	Q148
Hong Kong SAR, China	3	2	Q8646
Colombia	2	5	Q739
Congo, Dem. Rep.	8	7	Q974
Congo, Rep.	18	12	Q971
Costa Rica	3	4	Q800
Cote d'Ivoire	4	4	Q1008
Croatia	2	3	Q224
Cuba	6	7	Q241
Cyprus	1	1	Q229
Czech Republic	7	5	Q213
Denmark	3	3	Q35
Djibouti	2	3	Q977
Dominican Republic	4	4	Q786
Ecuador	1	3	Q736
Egypt, Arab Rep.	2	5	Q79
Estonia	2	2	Q191
Ethiopia	60	10	Q115
Finland	2	3	Q33
France	2	3	Q142
Gabon	25	25	Q1000
Gambia, The	1	1	Q1005
Georgia	2	2	Q230
Germany	2	2	Q183
Ghana	1	1	Q117
Greece	3	3	Q41
Guatemala	4	5	Q774
Haiti	2	2	Q790
Honduras	4	7	Q783
Hungary	1	3	Q28
Iceland	1	1	Q189
India	3	3	Q668
Indonesia	2	4	Q252
Iran, Islamic Rep.	3	5	Q794
Iraq	39	7	Q796
Ireland	2	2	Q27
Israel	1	2	Q801
Italy	3	4	Q38
Jamaica	3	3	Q766
Japan	2	3	Q17
Jordan	2	7	Q810
Kazakhstan	10	3	Q232
Kenya	4	4	Q114
Korea, Rep.	2	3	Q884
Kuwait	2	3	Q817
Kyrgyz Republic	1	2	Q813
Lao PDR	2	2	Q819
Latvia	1	1	Q211
Lebanon	1	1	Q822
Liberia	7	7	Q1014
Libya	11	4	Q1016
Lithuania	2	2	Q37
Luxembourg	2	2	Q32
North Macedonia	1	2	Q221
Madagascar	1	1	Q1019
Malawi	4	14	Q1020
Malaysia	2	2	Q833
Maldives	6	9	Q826
Malta	1	1	Q233
Mauritania	13	32	Q1025
Mauritius	1	2	Q1027
Mexico	5	5	Q96
Moldova	25	32	Q217
Mongolia	4	4	Q711
Montenegro	7	12	Q236
Morocco	2	3	Q1028
Mozambique	3	5	Q1029
Myanmar	3	4	Q836
Namibia	3	4	Q1030
Nepal	1	2	Q837
Netherlands	2	1	Q55
Nicaragua	8	8	Q811
Niger	1	12	Q1032
Nigeria	3	2	Q1033
Norway	1	2	Q20
Oman	2	2	Q842
Pakistan	4	8	Q843
Panama	3	2	Q804
Papua New Guinea	2	2	Q691
Peru	2	4	Q419
Philippines	1	2	Q928
Poland	1	1	Q36
Portugal	3	3	Q45
Qatar	10	7	Q846
Romania	2	2	Q218
Russian Federation	3	5	Q159
Rwanda	2	3	Q1037
Saudi Arabia	4	5	Q851
Senegal	1	7	Q1041
Serbia	2	2	Q403
Singapore	2	2	Q334
Slovak Republic	2	3	Q214
Slovenia	1	3	Q215
South Africa	3	3	Q258
Spain	2	3	Q29
Sri Lanka	6	4	Q854
Sudan	11	12	Q1049
Sweden	1	3	Q34
Switzerland	3	2	Q39
Syrian Arab Republic	1	5	Q858
Tajikistan	14	14	Q863
Tanzania	4	4	Q924
Thailand	4	5	Q869
Togo	2	3	Q945
Trinidad and Tobago	7	7	Q754
Tunisia	4	5	Q948
Turkey	3	3	Q43
Uganda	3	14	Q1036
Ukraine	3	2	Q212
United Arab Emirates	2	2	Q878
United Kingdom	2	3	Q145
United States	2	2	Q30
Uruguay	4	3	Q77
Uzbekistan	16	3	Q265
Venezuela, RB	15	12	Q717
Vietnam	2	3	Q881
Yemen, Rep.	3	7	Q805
Zambia	9	6	Q953
Zimbabwe	5	10	Q954
